"","x","range","Session 1","Session 2","SR_sort"
"1","basdrive","[4,16]","12.07 ( 2.31)","11.60 (2.26)",2
"2","basfunsk","[4,16]","12.84 ( 2.00)","13.03 (1.93)",3
"3","basrewres","[5,20]","17.97 ( 2.06)","17.92 (1.68)",4
"4","bastot","[13,52]","42.89 ( 4.99)","42.57 (4.31)",1
"5","bis","[7,28]","21.44 ( 3.34)","21.19 (3.30)",5
"6","masqAA","[17,85]","24.82 ( 8.35)","  NaN (  NA)",9
"7","masqAD","[NA,NA]","28.96 (15.51)","  NaN (  NA)",11
"8","masqGDA","[11,55]","18.56 ( 7.11)","  NaN (  NA)",8
"9","masqGDD","[12,60]","22.44 (10.24)","  NaN (  NA)",10
"10","panas_na","[10,50]","15.57 ( 5.96)","13.85 (3.18)",7
"11","panas_pa","[10,50]","28.84 ( 8.87)","23.47 (8.66)",6
"12","prdep_tot","[0,112]","28.57 (22.64)","  NaN (  NA)",13
"13","shaps_tot","[0,14]","13.18 ( 1.62)","12.79 (1.73)",12
