"","Subject","ExperimentName","absmoney1","rewlos","Srewlos","card.RESP","ydata","cardname","stim","time"
"1",2049,"playorpass - Version 2",50,0.5,1,1,1,"D",4,2015-10-29
"2",2049,"playorpass - Version 2",100,1,1,1,1,"A",1,2015-10-29
"3",2049,"playorpass - Version 2",100,1,1,1,1,"A",1,2015-10-29
"4",2049,"playorpass - Version 2",100,1,1,1,1,"B",2,2015-10-29
"5",2049,"playorpass - Version 2",100,1,1,1,1,"B",2,2015-10-29
"6",2049,"playorpass - Version 2",50,0.5,1,1,1,"C",3,2015-10-29
"7",2049,"playorpass - Version 2",50,0.5,1,1,1,"D",4,2015-10-29
"8",2049,"playorpass - Version 2",50,0.5,1,1,1,"C",3,2015-10-29
"9",2049,"playorpass - Version 2",-50,-0.5,-1,1,1,"A",1,2015-10-29
"10",2049,"playorpass - Version 2",100,1,1,1,1,"A",1,2015-10-29
"11",2049,"playorpass - Version 2",0,0,0,1,1,"C",3,2015-10-29
"12",2049,"playorpass - Version 2",50,0.5,1,1,1,"D",4,2015-10-29
"13",2049,"playorpass - Version 2",50,0.5,1,1,1,"C",3,2015-10-29
"14",2049,"playorpass - Version 2",100,1,1,1,1,"B",2,2015-10-29
"15",2049,"playorpass - Version 2",NA,0,0,3,2,"B",2,2015-10-29
"16",2049,"playorpass - Version 2",NA,0,0,3,2,"D",4,2015-10-29
"17",2049,"playorpass - Version 2",50,0.5,1,1,1,"D",4,2015-10-29
"18",2049,"playorpass - Version 2",-200,-2,-1,1,1,"A",1,2015-10-29
"19",2049,"playorpass - Version 2",100,1,1,1,1,"B",2,2015-10-29
"20",2049,"playorpass - Version 2",NA,0,0,NA,2,"D",4,2015-10-29
"21",2049,"playorpass - Version 2",0,0,0,1,1,"C",3,2015-10-29
"22",2049,"playorpass - Version 2",NA,0,0,3,2,"A",1,2015-10-29
"23",2049,"playorpass - Version 2",50,0.5,1,1,1,"C",3,2015-10-29
"24",2049,"playorpass - Version 2",100,1,1,1,1,"B",2,2015-10-29
"25",2049,"playorpass - Version 2",100,1,1,1,1,"A",1,2015-10-29
"26",2049,"playorpass - Version 2",NA,0,0,3,2,"D",4,2015-10-29
"27",2049,"playorpass - Version 2",50,0.5,1,1,1,"D",4,2015-10-29
"28",2049,"playorpass - Version 2",100,1,1,1,1,"B",2,2015-10-29
"29",2049,"playorpass - Version 2",NA,0,0,3,2,"B",2,2015-10-29
"30",2049,"playorpass - Version 2",NA,0,0,3,2,"C",3,2015-10-29
"31",2049,"playorpass - Version 2",-100,-1,-1,1,1,"A",1,2015-10-29
"32",2049,"playorpass - Version 2",0,0,0,1,1,"C",3,2015-10-29
"33",2049,"playorpass - Version 2",50,0.5,1,1,1,"C",3,2015-10-29
"34",2049,"playorpass - Version 2",NA,0,0,3,2,"A",1,2015-10-29
"35",2049,"playorpass - Version 2",100,1,1,1,1,"B",2,2015-10-29
"36",2049,"playorpass - Version 2",100,1,1,1,1,"A",1,2015-10-29
"37",2049,"playorpass - Version 2",NA,0,0,3,2,"D",4,2015-10-29
"38",2049,"playorpass - Version 2",NA,0,0,3,2,"D",4,2015-10-29
"39",2049,"playorpass - Version 2",NA,0,0,3,2,"C",3,2015-10-29
"40",2049,"playorpass - Version 2",NA,0,0,3,2,"B",2,2015-10-29
"42",2049,"playorpass - Version 2",50,0.5,1,1,1,"D",4,2015-10-29
