"","parameter","ID","blup_session1","blup_session2","blup_overall","subject"
"1","Apun",1,0.0638524384074828,0.0502723918147722,0.0570624151111275,2049
"2","Apun",2,0.0953569056476225,0.125156502965127,0.110256704306375,2050
"3","Apun",3,0.0348991645072055,0.0885307185323154,0.0617149415197604,2051
"4","Apun",4,0.128649513412167,0.143967139515442,0.136308326463804,2052
"5","Apun",5,0.0401801848041795,0.0576251505142815,0.0489026676592305,2053
"6","Apun",6,0.0312161648484697,0.0611583179588514,0.0461872414036606,2054
"7","Apun",7,0.0236540074701021,0.0298273733068013,0.0267406903884517,2055
"8","Apun",8,0.15596164257939,0.0892083892550946,0.122585015917242,2056
"9","Apun",9,0.159604125554301,0.127482501292422,0.143543313423361,2057
"10","Apun",10,0.0739996384028396,0.0656652515593031,0.0698324449810713,2058
"11","Apun",11,0.0339568486251015,0.0406090792577619,0.0372829639414317,2060
"12","Apun",12,0.151745307486064,0.124589644884308,0.138167476185186,2061
"13","Apun",13,0.0222475129583855,0.0340796480030684,0.028163580480727,2062
"14","Apun",14,0.0249022851639741,0.0544508847716288,0.0396765849678014,2063
"15","Apun",15,0.169063611257474,0.131186931895341,0.150125271576408,2064
"16","Apun",16,0.0601921542415652,0.0432809909197564,0.0517365725806608,2065
"17","Apun",17,0.234933408153175,0.176248498665946,0.20559095340956,2066
"18","Apun",18,0.0752242796300227,0.0878451484816766,0.0815347140558496,2067
"19","Apun",19,0.133138457688813,0.115406926894873,0.124272692291843,2068
"20","Apun",20,0.0631062036629612,0.0769181045169852,0.0700121540899732,2069
"21","Apun",21,0.0539671068921182,0.0706862030228842,0.0623266549575012,2070
"22","Apun",22,0.0991298179883492,0.13581079271891,0.11747030535363,2071
"23","Apun",23,0.264595973487051,0.236877190053581,0.250736581770316,2072
"24","Apun",24,0.058129877887508,0.128110515792838,0.0931201968401729,2073
"25","Apun",25,0.0684756097917616,0.0815083163118076,0.0749919630517846,2074
"26","Apun",26,0.0917577744171774,0.121230852967635,0.106494313692406,2075
"27","Apun",27,0.0305132006159358,0.0482884629323229,0.0394008317741294,2076
"28","Apun",28,0.0316624998364016,0.0648054823121087,0.0482339910742551,2077
"29","Apun",29,0.0923253873237447,0.176318871590392,0.134322129457068,2078
"30","Apun",30,0.122403531591905,0.102641592029646,0.112522561810776,2079
"31","Apun",31,0.0652521357258194,0.0538282852060847,0.059540210465952,2080
"32","Apun",32,0.0797282940824687,0.0928931452442514,0.08631071966336,2081
"33","Apun",33,0.0318768389877257,0.0474018083181804,0.039639323652953,2082
"34","Apun",34,0.227075704959078,0.112429123161935,0.169752414060507,2084
"35","Apun",35,0.11173908083737,0.0737431433556552,0.0927411120965126,2085
"36","Apun",36,0.0404064238079019,0.0662742372064372,0.0533403305071695,2086
"37","Apun",37,0.160914738032355,0.111177374239804,0.136046056136079,2087
"38","Apun",38,0.0597191765965987,0.0421881915196058,0.0509536840581023,2088
"39","Apun",39,0.0566167495141308,0.0784244429492214,0.0675205962316761,2089
"40","Apun",40,0.06060780024076,0.0786193959766506,0.0696135981087053,2090
"41","Apun",41,0.171456472833756,0.136101520755624,0.15377899679469,2091
"42","Apun",42,0.110809492623963,0.159334072101585,0.135071782362774,2092
"43","Apun",43,0.0464445180840061,0.0702173682990812,0.0583309431915437,2093
"44","Apun",44,0.064232161824255,0.0817565761377796,0.0729943689810173,2094
"45","Apun",45,0.0394761378214801,0.0402109217334914,0.0398435297774857,2095
"46","Apun",46,0.0929511865821038,0.0973772109039696,0.0951641987430367,2096
"47","Apun",47,0.169764595744271,0.105373928406439,0.137569262075355,2097
"48","Apun",48,0.0684752699689347,0.0833505521481528,0.0759129110585438,2098
"49","Apun",49,0.133000609992467,0.106287148852869,0.119643879422668,2099
"50","Arew",1,0.191852813392567,0.15910441663572,0.175478615014144,2049
"51","Arew",2,0.188530428486072,0.10897296678188,0.148751697633976,2050
"52","Arew",3,0.214272923683147,0.0805690975143473,0.147421010598747,2051
"53","Arew",4,0.194089158187605,0.0791922264199654,0.136640692303785,2052
"54","Arew",5,0.223705872997101,0.129956109199458,0.176830991098279,2053
"55","Arew",6,0.199539020423084,0.0663070589878752,0.132923039705479,2054
"56","Arew",7,0.215267992867961,0.277617692690864,0.246442842779413,2055
"57","Arew",8,0.175493907596168,0.144215415278617,0.159854661437392,2056
"58","Arew",9,0.154979111534877,0.115502288823988,0.135240700179433,2057
"59","Arew",10,0.22816384634137,0.285894321355269,0.257029083848319,2058
"60","Arew",11,0.24962719120598,0.289394589520408,0.269510890363194,2060
"61","Arew",12,0.164127302788357,0.113568995427663,0.13884814910801,2061
"62","Arew",13,0.219673201143685,0.137315774584697,0.178494487864191,2062
"63","Arew",14,0.188442625304678,0.133909144628461,0.16117588496657,2063
"64","Arew",15,0.212679603981336,0.147377409093261,0.180028506537298,2064
"65","Arew",16,0.221986439153937,0.266524180331604,0.244255309742771,2065
"66","Arew",17,0.181735386854178,0.0836613366317454,0.132698361742961,2066
"67","Arew",18,0.202825395570752,0.141006644347035,0.171916019958894,2067
"68","Arew",19,0.153051353006939,0.0557820586597276,0.104416705833333,2068
"69","Arew",20,0.21969275508389,0.0938084998040156,0.156750627443953,2069
"70","Arew",21,0.197396449628998,0.103558290915218,0.150477370272108,2070
"71","Arew",22,0.166421890230834,0.0319063592312251,0.0991641247310294,2071
"72","Arew",23,0.169128029006859,0.0642678781806207,0.11669795359374,2072
"73","Arew",24,0.245595332982412,0.281659439991848,0.26362738648713,2073
"74","Arew",25,0.202719180796863,0.206092659656905,0.204405920226884,2074
"75","Arew",26,0.191581911739607,0.0501224095270947,0.120852160633351,2075
"76","Arew",27,0.214849736636937,0.176311468744475,0.195580602690706,2076
"77","Arew",28,0.226589636328512,0.124541517080124,0.175565576704318,2077
"78","Arew",29,0.162461597025766,0.0216661811361635,0.0920638890809649,2078
"79","Arew",30,0.222735213551075,0.0760977063414314,0.149416459946253,2079
"80","Arew",31,0.217878929736266,0.261051306079267,0.239465117907767,2080
"81","Arew",32,0.16839834214496,0.0886259130788204,0.12851212761189,2081
"82","Arew",33,0.217425519650778,0.390866387560959,0.304145953605868,2082
"83","Arew",34,0.177934126693756,0.0885140825685852,0.133224104631171,2084
