"","cor_type","x","y","session","r","lower","upper","sig","estimate","estimate_lab","lower_lab","upper_lab","estimate_CI","SR_sort"
"1","SR-Prop","shaps_tot","Bad",0,-0.0230582267703578,-0.36,0.24,"",-0.02,"-.02","-.36",".24","-.02 [-.36,.24]",12
"2","SR-Prop","shaps_tot","Good",0,-0.101424709122235,-0.34,0.16,"",-0.1,"-.10","-.34",".16","-.10 [-.34,.16]",12
"3","SR-Prop","panas_na","Bad",0,-0.293991841830667,-0.54,0,"*",-0.29,"-.29","-.54","-.00","-.29 [-.54,-.00]",7
"4","SR-Prop","panas_na","Good",0,-0.191216643732541,-0.4,0.06,"",-0.19,"-.19","-.40",".06","-.19 [-.40,.06]",7
"5","SR-Prop","panas_pa","Bad",0,0.128836104714288,-0.23,0.39,"",0.13," .13","-.23",".39"," .13 [-.23,.39]",6
"6","SR-Prop","panas_pa","Good",0,-0.0100166401115846,-0.27,0.24,"",-0.01,"-.01","-.27",".24","-.01 [-.27,.24]",6
"7","SR-Prop","bis","Bad",0,-0.103041705174486,-0.37,0.21,"",-0.1,"-.10","-.37",".21","-.10 [-.37,.21]",5
"8","SR-Prop","bis","Good",0,0.114511203000303,-0.26,0.4,"",0.11," .11","-.26",".40"," .11 [-.26,.40]",5
"9","SR-Prop","basrewres","Bad",0,0.0200215310345561,-0.21,0.26,"",0.02," .02","-.21",".26"," .02 [-.21,.26]",4
"10","SR-Prop","basrewres","Good",0,-0.155153276684354,-0.37,0.08,"",-0.16,"-.16","-.37",".08","-.16 [-.37,.08]",4
"11","SR-Prop","basfunsk","Bad",0,-0.139767089182872,-0.5,0.25,"",-0.14,"-.14","-.50",".25","-.14 [-.50,.25]",3
"12","SR-Prop","basfunsk","Good",0,0.0810980666866278,-0.24,0.43,"",0.08," .08","-.24",".43"," .08 [-.24,.43]",3
"13","SR-Prop","basdrive","Bad",0,0.0912922272337246,-0.23,0.43,"",0.09," .09","-.23",".43"," .09 [-.23,.43]",2
"14","SR-Prop","basdrive","Good",0,-0.226298819203724,-0.53,0.28,"",-0.23,"-.23","-.53",".28","-.23 [-.53,.28]",2
"15","SR-Prop","bastot","Bad",0,-0.00251038410421667,-0.29,0.3,"",0,"-.00","-.29",".30","-.00 [-.29,.30]",1
"16","SR-Prop","bastot","Good",0,-0.141539491165742,-0.42,0.22,"",-0.14,"-.14","-.42",".22","-.14 [-.42,.22]",1
"17","SR-Prop","masqAD","Bad",0,-0.0753325178093897,-0.36,0.3,"",-0.08,"-.08","-.36",".30","-.08 [-.36,.30]",11
