"","cor_type","x","y","session","r","lower","upper","sig","estimate","estimate_lab","lower_lab","upper_lab","estimate_CI","SR_sort"
"1","SR-ORL","shaps_tot","betaB",0,-0.076322976124057,-0.36,0.15,"",-0.08,"-.08","-.36",".15","-.08 [-.36,.15]",12
"2","SR-ORL","shaps_tot","betaF",0,-0.169718538393313,-0.47,0.26,"",-0.17,"-.17","-.47",".26","-.17 [-.47,.26]",12
"3","SR-ORL","shaps_tot","Apun",0,0.108904461945374,-0.07,0.3,"",0.11," .11","-.07",".30"," .11 [-.07,.30]",12
"4","SR-ORL","shaps_tot","Arew",0,-0.00278589033649829,-0.5,0.3,"",0,"-.00","-.50",".30","-.00 [-.50,.30]",12
"5","SR-ORL","panas_na","betaB",0,-0.105539139451306,-0.33,0.12,"",-0.11,"-.11","-.33",".12","-.11 [-.33,.12]",7
"6","SR-ORL","panas_na","betaF",0,-0.177416152073079,-0.42,0.06,"",-0.18,"-.18","-.42",".06","-.18 [-.42,.06]",7
"7","SR-ORL","panas_na","Apun",0,0.225620159029344,-0.06,0.53,"",0.23," .23","-.06",".53"," .23 [-.06,.53]",7
"8","SR-ORL","panas_na","Arew",0,-0.20522729340202,-0.38,-0.01,"*",-0.21,"-.21","-.38","-.01","-.21 [-.38,-.01]",7
"9","SR-ORL","panas_pa","betaB",0,0.06390749822496,-0.22,0.35,"",0.06," .06","-.22",".35"," .06 [-.22,.35]",6
"10","SR-ORL","panas_pa","betaF",0,-0.169520983616262,-0.4,0.1,"",-0.17,"-.17","-.40",".10","-.17 [-.40,.10]",6
"11","SR-ORL","panas_pa","Apun",0,0.0827055047014874,-0.17,0.36,"",0.08," .08","-.17",".36"," .08 [-.17,.36]",6
"12","SR-ORL","panas_pa","Arew",0,0.171521854867581,-0.1,0.41,"",0.17," .17","-.10",".41"," .17 [-.10,.41]",6
"13","SR-ORL","bis","betaB",0,0.158198953688756,-0.19,0.43,"",0.16," .16","-.19",".43"," .16 [-.19,.43]",5
"14","SR-ORL","bis","betaF",0,0.138565002056253,-0.11,0.38,"",0.14," .14","-.11",".38"," .14 [-.11,.38]",5
"15","SR-ORL","bis","Apun",0,0.0251720315073998,-0.25,0.24,"",0.03," .03","-.25",".24"," .03 [-.25,.24]",5
"16","SR-ORL","bis","Arew",0,-0.270895070745049,-0.52,0.02,"",-0.27,"-.27","-.52",".02","-.27 [-.52,.02]",5
"17","SR-ORL","basrewres","betaB",0,-0.0679165865084977,-0.28,0.14,"",-0.07,"-.07","-.28",".14","-.07 [-.28,.14]",4
"18","SR-ORL","basrewres","betaF",0,0.0117116040187207,-0.25,0.3,"",0.01," .01","-.25",".30"," .01 [-.25,.30]",4
"19","SR-ORL","basrewres","Apun",0,-0.00747201584570323,-0.28,0.29,"",-0.01,"-.01","-.28",".29","-.01 [-.28,.29]",4
"20","SR-ORL","basrewres","Arew",0,0.183407789916402,-0.05,0.4,"",0.18," .18","-.05",".40"," .18 [-.05,.40]",4
"21","SR-ORL","basfunsk","betaB",0,0.108290103411817,-0.25,0.42,"",0.11," .11","-.25",".42"," .11 [-.25,.42]",3
"22","SR-ORL","basfunsk","betaF",0,-0.0157384834621032,-0.25,0.25,"",-0.02,"-.02","-.25",".25","-.02 [-.25,.25]",3
"23","SR-ORL","basfunsk","Apun",0,0.270435963334861,0.03,0.46,"*",0.27," .27",".03",".46"," .27 [.03,.46]",3
"24","SR-ORL","basfunsk","Arew",0,-0.0107534563289197,-0.39,0.31,"",-0.01,"-.01","-.39",".31","-.01 [-.39,.31]",3
"25","SR-ORL","basdrive","betaB",0,-0.169668360534021,-0.44,0.22,"",-0.17,"-.17","-.44",".22","-.17 [-.44,.22]",2
"26","SR-ORL","basdrive","betaF",0,-0.260212188789282,-0.51,-0.02,"*",-0.26,"-.26","-.51","-.02","-.26 [-.51,-.02]",2
"27","SR-ORL","basdrive","Apun",0,-0.0628176236697296,-0.47,0.22,"",-0.06,"-.06","-.47",".22","-.06 [-.47,.22]",2
"28","SR-ORL","basdrive","Arew",0,0.248586043957688,-0.12,0.55,"",0.25," .25","-.12",".55"," .25 [-.12,.55]",2
"29","SR-ORL","bastot","betaB",0,-0.0687317408599391,-0.34,0.24,"",-0.07,"-.07","-.34",".24","-.07 [-.34,.24]",1
"30","SR-ORL","bastot","betaF",0,-0.132722569652507,-0.37,0.13,"",-0.13,"-.13","-.37",".13","-.13 [-.37,.13]",1
"31","SR-ORL","bastot","Apun",0,0.0711424288246438,-0.22,0.33,"",0.07," .07","-.22",".33"," .07 [-.22,.33]",1
"32","SR-ORL","bastot","Arew",0,0.188584208537188,-0.17,0.46,"",0.19," .19","-.17",".46"," .19 [-.17,.46]",1
"33","SR-ORL","masqAD","betaB",0,-0.0405244766068954,-0.37,0.32,"",-0.04,"-.04","-.37",".32","-.04 [-.37,.32]",11
"34","SR-ORL","masqAD","betaF",0,0.0517046826871145,-0.18,0.3,"",0.05," .05","-.18",".30"," .05 [-.18,.30]",11
"35","SR-ORL","masqAD","Apun",0,-0.158941706160363,-0.43,0.11,"",-0.16,"-.16","-.43",".11","-.16 [-.43,.11]",11
"36","SR-ORL","masqAD","Arew",0,-0.250980126688213,-0.49,0.01,"#",-0.25,"-.25","-.49",".01","-.25 [-.49,.01]",11
"37","SR-ORL","masqGDD","betaB",0,0.0723992568094474,-0.19,0.35,"",0.07," .07","-.19",".35"," .07 [-.19,.35]",10
"38","SR-ORL","masqGDD","betaF",0,0.0181360285289038,-0.21,0.22,"",0.02," .02","-.21",".22"," .02 [-.21,.22]",10
"39","SR-ORL","masqGDD","Apun",0,0.231597707658739,-0.1,0.55,"",0.23," .23","-.10",".55"," .23 [-.10,.55]",10
"40","SR-ORL","masqGDD","Arew",0,-0.10074422555689,-0.29,0.09,"",-0.1,"-.10","-.29",".09","-.10 [-.29,.09]",10
"41","SR-ORL","masqAA","betaB",0,0.0146598040223755,-0.18,0.23,"",0.01," .01","-.18",".23"," .01 [-.18,.23]",9
"42","SR-ORL","masqAA","betaF",0,-0.160283607651348,-0.42,0.11,"",-0.16,"-.16","-.42",".11","-.16 [-.42,.11]",9
"43","SR-ORL","masqAA","Apun",0,0.163098303841277,-0.18,0.55,"",0.16," .16","-.18",".55"," .16 [-.18,.55]",9
"44","SR-ORL","masqAA","Arew",0,-0.0633096462062388,-0.27,0.15,"",-0.06,"-.06","-.27",".15","-.06 [-.27,.15]",9
"45","SR-ORL","masqGDA","betaB",0,0.0970513092406698,-0.13,0.32,"",0.1," .10","-.13",".32"," .10 [-.13,.32]",8
"46","SR-ORL","masqGDA","betaF",0,-0.00623356192678866,-0.28,0.27,"",-0.01,"-.01","-.28",".27","-.01 [-.28,.27]",8
"47","SR-ORL","masqGDA","Apun",0,0.201181096695454,-0.11,0.54,"",0.2," .20","-.11",".54"," .20 [-.11,.54]",8
"48","SR-ORL","masqGDA","Arew",0,-0.188018481846877,-0.41,0.05,"",-0.19,"-.19","-.41",".05","-.19 [-.41,.05]",8
"49","SR-ORL","prdep_tot","betaB",0,-0.00912036993611015,-0.35,0.34,"",-0.01,"-.01","-.35",".34","-.01 [-.35,.34]",13
"50","SR-ORL","prdep_tot","betaF",0,0.0214202379575545,-0.23,0.27,"",0.02," .02","-.23",".27"," .02 [-.23,.27]",13
"51","SR-ORL","prdep_tot","Apun",0,-0.102257786582037,-0.35,0.14,"",-0.1,"-.10","-.35",".14","-.10 [-.35,.14]",13
"52","SR-ORL","prdep_tot","Arew",0,-0.204309799593738,-0.44,0.04,"",-0.2,"-.20","-.44",".04","-.20 [-.44,.04]",13
"53","SR-ORL","shaps_tot","betaB",2,-0.134920629301012,-0.48,0.17,"",-0.13,"-.13","-.48",".17","-.13 [-.48,.17]",12
"54","SR-ORL","shaps_tot","betaF",2,-0.431187309216622,-0.65,-0.14,"*",-0.43,"-.43","-.65","-.14","-.43 [-.65,-.14]",12
"55","SR-ORL","shaps_tot","Apun",2,0.0932138400210161,-0.13,0.31,"",0.09," .09","-.13",".31"," .09 [-.13,.31]",12
"56","SR-ORL","shaps_tot","Arew",2,-0.0765073860462834,-0.53,0.36,"",-0.08,"-.08","-.53",".36","-.08 [-.53,.36]",12
"57","SR-ORL","panas_na","betaB",2,-0.204420744962017,-0.5,0.13,"",-0.2,"-.20","-.50",".13","-.20 [-.50,.13]",7
"58","SR-ORL","panas_na","betaF",2,-0.0947892196647675,-0.35,0.17,"",-0.09,"-.09","-.35",".17","-.09 [-.35,.17]",7
"59","SR-ORL","panas_na","Apun",2,0.153524429836453,-0.15,0.56,"",0.15," .15","-.15",".56"," .15 [-.15,.56]",7
"60","SR-ORL","panas_na","Arew",2,-0.0474859360344397,-0.32,0.21,"",-0.05,"-.05","-.32",".21","-.05 [-.32,.21]",7
"61","SR-ORL","panas_pa","betaB",2,0.0846301212166291,-0.22,0.4,"",0.08," .08","-.22",".40"," .08 [-.22,.40]",6
