"","parameter","ID","blup_session1","blup_session2","blup_overall","subject"
"1","Apun",1,0.0612951789529929,0.0696279217359781,0.0654615503444855,2049
"2","Apun",2,0.118315759595808,0.157283850958579,0.137799805277194,2050
"3","Apun",3,0.046001525565278,0.121204346165313,0.0836029358652955,2051
"4","Apun",4,0.12304569228574,0.166982576433978,0.145014134359859,2052
"5","Apun",5,0.0725664102026467,0.096705455790239,0.0846359329964429,2053
"6","Apun",6,0.0385043653364058,0.0731470744822182,0.055825719909312,2054
"7","Apun",7,0.0315144262637891,0.0515196112721591,0.0415170187679741,2055
"8","Apun",8,0.115358370121385,0.0914775324594968,0.103417951290441,2056
"9","Apun",9,0.171788023389208,0.164116976222814,0.167952499806011,2057
"10","Apun",10,0.0808372955656901,0.100530843449855,0.0906840695077725,2058
"11","Apun",11,0.0364786452735091,0.0621582251650302,0.0493184352192696,2060
"12","Apun",12,0.182576808144368,0.154867036852151,0.168721922498259,2061
"13","Apun",13,0.035693098319183,0.0544483853912231,0.045070741855203,2062
"14","Apun",14,0.0248903689845294,0.0707823239295635,0.0478363464570464,2063
"15","Apun",15,0.192635528145598,0.173517641306412,0.183076584726005,2064
"16","Apun",16,0.0576639963984432,0.0633200387840493,0.0604920175912462,2065
"17","Apun",17,0.274773641408722,0.213313485096804,0.244043563252763,2066
"18","Apun",18,0.090438332853851,0.12166107636581,0.106049704609831,2067
"19","Apun",19,0.166884516340397,0.181429870323939,0.174157193332168,2068
"20","Apun",20,0.12594344972743,0.168453016188617,0.147198232958024,2069
"21","Apun",21,0.0922729358696624,0.132240270558487,0.112256603214074,2070
"22","Apun",22,0.0933067778504405,0.152355355707517,0.122831066778979,2071
"23","Apun",23,0.343199152350618,0.362786080681469,0.352992616516043,2072
"24","Apun",24,0.073441924282889,0.154709000321138,0.114075462302014,2073
"25","Apun",25,0.069222803453372,0.112664762901598,0.0909437831774852,2074
"26","Apun",26,0.127349772148718,0.22789776386449,0.177623768006604,2075
"27","Apun",27,0.0437399448549179,0.0736936445353468,0.0587167946951323,2076
"28","Apun",28,0.0467918760408239,0.112935468687504,0.0798636723641642,2077
"29","Apun",29,0.0655365891460282,0.12711260920475,0.096324599175389,2078
"30","Apun",30,0.146997898423117,0.160970148577301,0.153984023500209,2079
"31","Apun",31,0.0734734262045063,0.084205636084844,0.0788395311446751,2080
"32","Apun",32,0.0787026298731277,0.107070533800725,0.0928865818369262,2081
"33","Apun",33,0.0272537603588548,0.0477237829244962,0.0374887716416755,2082
"34","Apun",34,0.297816764546002,0.140401202285448,0.219108983415725,2084
"35","Apun",35,0.0895937014001933,0.0810850378853945,0.0853393696427938,2085
"36","Apun",36,0.0694838892927976,0.105660362418567,0.0875721258556824,2086
"37","Apun",37,0.180162093608656,0.140013454529887,0.160087774069271,2087
"38","Apun",38,0.0759557965393042,0.0589741381463304,0.0674649673428173,2088
"39","Apun",39,0.0602338491529827,0.126960738017199,0.0935972935850908,2089
"40","Apun",40,0.063702685244488,0.102714270446913,0.0832084778457002,2090
"41","Apun",41,0.184160457634786,0.161538250814255,0.172849354224521,2091
"42","Apun",42,0.15188462584316,0.196797719990801,0.17434117291698,2092
"43","Apun",43,0.0697780824091089,0.107058388776971,0.0884182355930398,2093
"44","Apun",44,0.107573200804518,0.130880405224474,0.119226803014496,2094
"45","Apun",45,0.0352844185403203,0.0613707619631314,0.0483275902517258,2095
"46","Apun",46,0.130810540111407,0.144335455151482,0.137572997631444,2096
"47","Apun",47,0.184121754266527,0.145015857972134,0.164568806119331,2097
"48","Apun",48,0.127257236989388,0.141736594271994,0.134496915630691,2098
"49","Apun",49,0.136851338928328,0.124567195951115,0.130709267439722,2099
"50","Arew",1,0.154888853753903,0.0753430583190631,0.115115956036483,2049
"51","Arew",2,0.115433603467759,0.0795121416125552,0.0974728725401573,2050
"52","Arew",3,0.169735156553705,0.0735189131047464,0.121627034829226,2051
"53","Arew",4,0.170869813915414,0.0755238634945621,0.123196838704988,2052
"54","Arew",5,0.150540959841128,0.077985924413507,0.114263442127318,2053
"55","Arew",6,0.154215227670742,0.0751506352473521,0.114682931459047,2054
"56","Arew",7,0.140423649301741,0.0789324975482717,0.109678073425007,2055
"57","Arew",8,0.143013445979699,0.0839280623507276,0.113470754165213,2056
"58","Arew",9,0.108926451262942,0.0771790425058251,0.0930527468843835,2057
"59","Arew",10,0.158930504116792,0.0803114352354134,0.119620969676103,2058
"60","Arew",11,0.179205730604212,0.0785992336263084,0.12890248211526,2060
"61","Arew",12,0.112262766913974,0.0835547369487594,0.0979087519313668,2061
"62","Arew",13,0.150480555553349,0.077990527131713,0.114235541342531,2062
"63","Arew",14,0.152115682401212,0.0766736253424815,0.114394653871847,2063
"64","Arew",15,0.176370612747548,0.0764883267224827,0.126429469735015,2064
"65","Arew",16,0.143151307177462,0.0792982944108877,0.111224800794175,2065
"66","Arew",17,0.137981872954756,0.0758843361913654,0.106933104573061,2066
"67","Arew",18,0.140310608407767,0.0768801694001832,0.108595388903975,2067
"68","Arew",19,0.110621084666448,0.0736386722423315,0.0921298784543897,2068
"69","Arew",20,0.149430398594205,0.0696021051385662,0.109516251866386,2069
"70","Arew",21,0.12477612465413,0.0718381018145128,0.0983071132343215,2070
"71","Arew",22,0.130036426269723,0.0773373949727327,0.103686910621228,2071
"72","Arew",23,0.138643864900541,0.0749641466937173,0.106804005797129,2072
