"","scale","Apun_1_1","Arew_1_1","K_1_1","betaF_1_1","betaP_1_1","Apun_2_1","Arew_2_1","K_2_1","betaF_2_1","betaP_2_1","Apun_1_2","Arew_1_2","K_1_2","betaF_1_2","betaP_1_2","Apun_2_2","Arew_2_2","K_2_2","betaF_2_2","betaP_2_2"
"1","bastot","-.15 (-.43,  .14)"," .10 (-.20,  .35)"," .07 (-.25,  .39)","-.15 (-.43,  .16)","-.01 (-.31,  .29)","-.08 (-.39,  .23)","-.02 (-.32,  .23)","-.06 (-.37,  .26)","-.13 (-.41,  .21)"," .10 (-.17,  .32)","-.16 (-.45,  .18)"," .21 (-.10,  .45)"," .17 (-.24,  .46)","-.18 (-.47,  .17)","-.20 (-.50,  .30)","-.13 (-.42,  .17)"," .19 (-.13,  .45)"," .12 (-.24,  .50)","-.14 (-.47,  .38)","-.02 (-.30,  .35)"
"2","basdrive","-.21 (-.57,  .08)"," .19 (-.08,  .42)"," .12 (-.15,  .44)","-.16 (-.43,  .17)","-.13 (-.47,  .20)","-.25 (-.62,  .06)"," .01 (-.26,  .26)"," .04 (-.26,  .34)","-.19 (-.50,  .19)","-.10 (-.44,  .16)","-.19 (-.49,  .12)"," .29 ( .00,  .52)*","-.13 (-.52,  .14)","-.15 (-.45,  .29)","-.11 (-.51,  .50)","-.28 (-.58,  .09)"," .17 (-.11,  .43)"," .20 (-.10,  .50)","-.04 (-.49,  .58)","-.15 (-.47,  .19)"
"3","basfunsk"," .08 (-.19,  .33)","-.10 (-.43,  .21)","-.08 (-.34,  .22)","-.11 (-.41,  .22)"," .14 (-.21,  .47)"," .15 (-.20,  .41)","-.09 (-.39,  .17)","-.09 (-.36,  .19)"," .00 (-.32,  .41)"," .27 ( .00,  .50)"," .00 (-.32,  .31)"," .01 (-.35,  .34)"," .10 (-.25,  .44)","-.07 (-.41,  .26)","-.01 (-.37,  .38)","-.02 (-.34,  .28)"," .18 (-.16,  .46)"," .03 (-.31,  .43)","-.02 (-.37,  .37)"," .18 (-.16,  .52)"
"4","basrewres","-.22 (-.50,  .09)"," .13 (-.12,  .37)"," .12 (-.23,  .37)","-.06 (-.33,  .21)"," .00 (-.27,  .28)","-.06 (-.40,  .24)"," .02 (-.27,  .24)","-.11 (-.35,  .16)","-.08 (-.32,  .18)"," .11 (-.17,  .35)","-.16 (-.51,  .14)"," .12 (-.15,  .36)"," .48 ( .21,  .68)*","-.16 (-.45,  .18)","-.37 (-.55, -.13)*"," .08 (-.21,  .38)"," .03 (-.25,  .34)"," .01 (-.31,  .35)","-.27 (-.52,  .05)","-.06 (-.33,  .26)"
"5","bis"," .34 ( .08,  .55)*","-.09 (-.33,  .16)","-.19 (-.48,  .11)"," .23 (-.11,  .50)","-.01 (-.33,  .24)"," .29 ( .01,  .50)*","-.23 (-.46,  .00)*","-.08 (-.31,  .18)"," .10 (-.31,  .41)","-.07 (-.30,  .17)"," .16 (-.11,  .41)","-.10 (-.41,  .24)"," .24 (-.10,  .52)"," .23 (-.15,  .51)","-.09 (-.49,  .26)"," .14 (-.21,  .44)","-.17 (-.47,  .14)"," .03 (-.22,  .26)"," .06 (-.45,  .44)","-.10 (-.35,  .15)"
"6","panas_pa","-.24 (-.49,  .02)"," .18 (-.15,  .47)"," .04 (-.26,  .30)","-.17 (-.41,  .09)","-.02 (-.33,  .30)","-.01 (-.27,  .23)"," .03 (-.30,  .33)"," .22 (-.02,  .46)","-.07 (-.31,  .16)"," .12 (-.18,  .39)","-.37 (-.58, -.12)*"," .35 ( .06,  .56)*","-.08 (-.46,  .32)"," .03 (-.26,  .32)"," .13 (-.15,  .44)","-.11 (-.38,  .18)"," .15 (-.18,  .45)"," .14 (-.13,  .41)"," .11 (-.19,  .41)"," .21 (-.04,  .46)"
"7","panas_na"," .27 (-.04,  .60)","-.19 (-.44,  .06)"," .15 (-.14,  .46)","-.19 (-.42,  .06)","-.16 (-.50,  .09)"," .30 (-.03,  .59)","-.15 (-.38,  .14)"," .10 (-.15,  .38)","-.21 (-.57,  .08)","-.19 (-.42,  .06)"," .41 (-.01,  .69)","-.20 (-.46,  .13)","-.21 (-.56,  .11)"," .00 (-.34,  .34)"," .06 (-.27,  .39)"," .16 (-.14,  .48)","-.06 (-.32,  .30)"," .25 (-.01,  .48)"," .01 (-.37,  .35)","-.13 (-.41,  .27)"
"8","masqGDA"," .33 (-.02,  .63)","-.16 (-.40,  .11)","-.13 (-.43,  .27)"," .02 (-.26,  .30)"," .05 (-.18,  .26)"," .22 (-.03,  .47)","-.09 (-.30,  .14)"," .13 (-.12,  .36)"," .08 (-.17,  .35)","-.11 (-.32,  .10)","","","","","","","","","",""
"9","masqAA"," .19 (-.18,  .54)","-.04 (-.29,  .19)"," .01 (-.28,  .43)","-.06 (-.31,  .21)"," .00 (-.25,  .27)"," .15 (-.18,  .48)","-.02 (-.25,  .20)"," .19 (-.05,  .47)","-.02 (-.27,  .21)","-.13 (-.35,  .16)","","","","","","","","","",""
"10","masqGDD"," .33 (-.06,  .63)","-.10 (-.34,  .20)","-.10 (-.40,  .20)"," .06 (-.22,  .35)"," .08 (-.18,  .37)"," .24 (-.06,  .49)","-.13 (-.33,  .08)"," .07 (-.19,  .37)"," .11 (-.15,  .37)","-.12 (-.37,  .18)","","","","","","","","","",""
