"","scale","correlation","r","lower","upper"
"1","basfunsk","betaP vs theta",0.18133165875432,-0.193234894438977,0.549997311818327
"2","basfunsk","betaF vs theta",-0.149218650434497,-0.586430041525754,0.274337781118117
"3","basfunsk","betaF vs betaP",0.314148618996261,-0.0522664487615416,0.649004189521706
"4","basfunsk","K vs theta",-0.00437360541485404,-0.604380737266574,0.604976323221642
"5","basfunsk","K vs betaP",-0.117359412219792,-0.782889383460829,0.584798133127326
"6","basfunsk","K vs betaF",-0.0455273738521736,-0.678857024076694,0.579121480141757
"7","basfunsk","Apun vs theta",0.273044977897584,-0.0715827871584098,0.596074328824786
"8","basfunsk","Apun vs betaP",0.311755801533575,-0.0192094906208765,0.618871808408054
"9","basfunsk","Apun vs betaF",0.394237962765632,0.0120961702082788,0.741497340048893
"10","basfunsk","Apun vs K",-0.0179851448920939,-0.586861324654767,0.591735118971641
"11","basfunsk","Arew vs theta",0.012611084226517,-0.406991516008087,0.415619212373979
"12","basfunsk","Arew vs betaP",-0.0977313805420075,-0.458371040241225,0.268990289788618
"13","basfunsk","Arew vs betaF",-0.313880191593106,-0.705906941802285,0.111609739605218
"14","basfunsk","Arew vs K",0.317100607440651,-0.300488659418117,0.862946770069907
"15","basfunsk","Arew vs Apun",-0.109099489251161,-0.511833216346375,0.274052321258682
"16","bis","betaP vs theta",-0.0689301654597759,-0.402866063181463,0.254130452354839
"17","bis","betaF vs theta",0.19698424677184,-0.169743329303459,0.585642979144277
"18","bis","betaF vs betaP",0.310698867946765,-0.0596745147478927,0.682638841609512
"19","bis","K vs theta",-0.248306686452441,-0.775618173580226,0.369383743161404
"20","bis","K vs betaP",-0.106941331494698,-0.761093010013035,0.56664786172889
"21","bis","K vs betaF",-0.0151241252123671,-0.650722627723529,0.578082473674863
"22","bis","Apun vs theta",0.160886651576561,-0.178725871961249,0.472524609660427
"23","bis","Apun vs betaP",0.321990821389666,0.0184059935219788,0.652556266391975
"24","bis","Apun vs betaF",0.446123692202127,0.0979830747979136,0.774757358971528
"25","bis","Apun vs K",-0.0195432326071408,-0.576996197800085,0.541788050313558
"26","bis","Arew vs theta",-0.127578744182599,-0.4928120710034,0.261328190566908
"27","bis","Arew vs betaP",-0.0834247382537342,-0.460607562904222,0.293479803159004
"28","bis","Arew vs betaF",-0.238322144905597,-0.631292495471639,0.181304696483841
"29","bis","Arew vs K",0.358368771081521,-0.228594285395772,0.869113303607113
"30","bis","Arew vs Apun",-0.137884504851597,-0.534856166387999,0.251935923525909
"31","shaps_tot","betaP vs theta",-0.00866356934009964,-0.290129815690766,0.278538108304654
"32","shaps_tot","betaF vs theta",-0.0781919638759317,-0.391579831015579,0.24194691862481
"33","shaps_tot","betaF vs betaP",0.315367860227447,-0.0448592974977385,0.677901415556355
"34","shaps_tot","K vs theta",0.0435714154737949,-0.482114589549582,0.495629254988759
"35","shaps_tot","K vs betaP",-0.107612848783413,-0.790742915037596,0.572350545016028
"36","shaps_tot","K vs betaF",-0.00185555917764076,-0.646204921635752,0.655251784188313
"37","shaps_tot","Apun vs theta",-0.0469079683203272,-0.345514110783817,0.235149100484562
"38","shaps_tot","Apun vs betaP",0.318464003634435,-0.00913266718902022,0.625039668547835
"39","shaps_tot","Apun vs betaF",0.460363159413362,0.114209145642896,0.788588288448199
"40","shaps_tot","Apun vs K",-0.0183171097691051,-0.599594686261148,0.590724536418837
"41","shaps_tot","Arew vs theta",0.00698532959913746,-0.32257343257586,0.323062663010399
"42","shaps_tot","Arew vs betaP",-0.0935508956874105,-0.464292403943313,0.282974652589586
"43","shaps_tot","Arew vs betaF",-0.239881765023149,-0.625433951743245,0.199264597289285
"44","shaps_tot","Arew vs K",0.303585062456784,-0.287213922985981,0.865443950495846
"45","shaps_tot","Arew vs Apun",-0.157206177637396,-0.54616684610833,0.234707478755732
"46","panas_na","betaP vs theta",-0.163807078211714,-0.456097137997578,0.125351779321347
"47","panas_na","betaF vs theta",-0.174469847589044,-0.495056290638656,0.142424969484132
"48","panas_na","betaF vs betaP",0.329983897468472,-0.0444812276511497,0.695048630561295
"49","panas_na","K vs theta",0.0646183536917841,-0.533544142821257,0.630456783226186
"50","panas_na","K vs betaP",-0.101820612123001,-0.760109108579569,0.604431025997006
"51","panas_na","K vs betaF",-0.0509836714447232,-0.692896334952184,0.618033530367303
"52","panas_na","Apun vs theta",0.196515685201243,-0.116437780286348,0.504612761096503
"53","panas_na","Apun vs betaP",0.303334766652258,-0.0278292631092401,0.619141646976514
"54","panas_na","Apun vs betaF",0.439970994911607,0.0880099496731515,0.757180380269486
"55","panas_na","Apun vs K",-0.00432153003432024,-0.584976455991584,0.624925848005014
"56","panas_na","Arew vs theta",0.0100167235788532,-0.316487028728864,0.347350034028993
"57","panas_na","Arew vs betaP",-0.108530030147189,-0.483317788333869,0.261085571657912
"58","panas_na","Arew vs betaF",-0.288163363868401,-0.671553527778299,0.127881445339249
"59","panas_na","Arew vs K",0.303100057319089,-0.315507109485282,0.866150280946563
"60","panas_na","Arew vs Apun",-0.0981023856021428,-0.473509501261926,0.284399000339845
"61","panas_pa","betaP vs theta",0.0120923839489654,-0.290584921242844,0.328161170080733
"62","panas_pa","betaF vs theta",-0.186306175837018,-0.505786213064105,0.153107061528837
