"","scale","correlation","r","lower","upper"
"1","basfunsk","betaP vs theta",0.18133165875432,-0.193234894438977,0.549997311818327
"2","basfunsk","betaF vs theta",-0.149218650434497,-0.586430041525754,0.274337781118117
"3","basfunsk","K vs theta",-0.00437360541485404,-0.604380737266574,0.604976323221642
"4","basfunsk","Apun vs theta",0.273044977897584,-0.0715827871584098,0.596074328824786
"5","basfunsk","Arew vs theta",0.012611084226517,-0.406991516008087,0.415619212373979
"6","bis","betaP vs theta",-0.0689301654597759,-0.402866063181463,0.254130452354839
"7","bis","betaF vs theta",0.19698424677184,-0.169743329303459,0.585642979144277
"8","bis","K vs theta",-0.248306686452441,-0.775618173580226,0.369383743161404
"9","bis","Apun vs theta",0.160886651576561,-0.178725871961249,0.472524609660427
"10","bis","Arew vs theta",-0.127578744182599,-0.4928120710034,0.261328190566908
"11","shaps_tot","betaP vs theta",-0.00866356934009964,-0.290129815690766,0.278538108304654
"12","shaps_tot","betaF vs theta",-0.0781919638759317,-0.391579831015579,0.24194691862481
"13","shaps_tot","K vs theta",0.0435714154737949,-0.482114589549582,0.495629254988759
"14","shaps_tot","Apun vs theta",-0.0469079683203272,-0.345514110783817,0.235149100484562
"15","shaps_tot","Arew vs theta",0.00698532959913746,-0.32257343257586,0.323062663010399
"16","panas_na","betaP vs theta",-0.163807078211714,-0.456097137997578,0.125351779321347
"17","panas_na","betaF vs theta",-0.174469847589044,-0.495056290638656,0.142424969484132
"18","panas_na","K vs theta",0.0646183536917841,-0.533544142821257,0.630456783226186
"19","panas_na","Apun vs theta",0.196515685201243,-0.116437780286348,0.504612761096503
"20","panas_na","Arew vs theta",0.0100167235788532,-0.316487028728864,0.347350034028993
"21","panas_pa","betaP vs theta",0.0120923839489654,-0.290584921242844,0.328161170080733
"22","panas_pa","betaF vs theta",-0.186306175837018,-0.505786213064105,0.153107061528837
"23","panas_pa","K vs theta",0.101475584990757,-0.479691987958203,0.696629181726859
"24","panas_pa","Apun vs theta",-0.00527967366262768,-0.304818142055122,0.305696779980086
"25","panas_pa","Arew vs theta",0.153727866341752,-0.201470801882793,0.495268016124041
"26","basrewres","betaP vs theta",-0.0725654571989782,-0.406238490227329,0.248811848622001
"27","basrewres","betaF vs theta",-0.181844734999171,-0.513548986792585,0.176695120781922
"28","basrewres","K vs theta",0.0230097957924835,-0.600968126493186,0.600223001845268
"29","basrewres","Apun vs theta",-0.195257926561152,-0.539798574012044,0.146292020520029
"30","basrewres","Arew vs theta",0.0575399337779145,-0.327017096940617,0.424467260145878
"31","basdrive","betaP vs theta",-0.179852454316,-0.51955931158354,0.156713846600626
"32","basdrive","betaF vs theta",-0.375349666315429,-0.756982931763776,0.00867242466199235
"33","basdrive","K vs theta",0.136403021147939,-0.506418352953643,0.672374314814146
"34","basdrive","Apun vs theta",-0.0907559970391814,-0.45851674654794,0.256516589611721
"35","basdrive","Arew vs theta",0.287086091706681,-0.0766576488590662,0.641326721579259
"36","bastot","betaP vs theta",-0.0396740788701311,-0.364946654230098,0.282745433641279
"37","bastot","betaF vs theta",-0.282345848500718,-0.634710557403881,0.058870055395445
"38","bastot","K vs theta",0.0925942429673521,-0.502070724725199,0.651465234870743
"39","bastot","Apun vs theta",-0.0139906039651244,-0.344207989554753,0.317021692132502
"40","bastot","Arew vs theta",0.161142329900276,-0.213881578207827,0.509100261363353
"41","masqGDD","betaP vs theta",-0.101160923677589,-0.38797045180438,0.191417640322631
"42","masqGDD","betaF vs theta",0.0920141794944171,-0.227724528354341,0.401578378696935
"43","masqGDD","K vs theta",-0.0108744775102282,-0.559231078864747,0.542314674748167
"44","masqGDD","Apun vs theta",0.167992257070712,-0.116790125731305,0.478714945473782
"45","masqGDD","Arew vs theta",-0.0137486778614366,-0.344115583496421,0.312858656144648
"46","masqAA","betaP vs theta",-0.0931021381176115,-0.37300747960377,0.193655027287198
"47","masqAA","betaF vs theta",-0.00193017351213588,-0.314546916118507,0.311659737540592
"48","masqAA","K vs theta",0.0650533571577857,-0.52188201482598,0.617957539111843
"49","masqAA","Apun vs theta",0.19925384349983,-0.114030971257513,0.509545846801154
"50","masqAA","Arew vs theta",0.0813414704607741,-0.252859022427172,0.421312164061571
"51","masqGDA","betaP vs theta",-0.0946737151888354,-0.376850989507651,0.200197349007783
"52","masqGDA","betaF vs theta",0.032714898528321,-0.2846857440691,0.354725575288364
"53","masqGDA","K vs theta",0.0297838225797803,-0.550170721030537,0.598190882223248
"54","masqGDA","Apun vs theta",0.194693059704535,-0.116466943172733,0.499501381000636
"55","masqGDA","Arew vs theta",0.0251430341504657,-0.29711561367896,0.358844417029727
"56","prdep_tot","betaP vs theta",-0.241774739620333,-0.522089209008121,0.0374410805650582
"57","prdep_tot","betaF vs theta",0.161109253416725,-0.159212987356375,0.479519403721007
"58","prdep_tot","K vs theta",-0.0975586593185366,-0.638304391923227,0.450978163108523
"59","prdep_tot","Apun vs theta",0.0823404908380903,-0.227672055209494,0.390197395321
"60","prdep_tot","Arew vs theta",-0.0141803052185009,-0.367060637673449,0.339521635811315
