"","parameter","scale","type","session","r","lower","upper"
"1","betaP","shaps_tot","sum-score",2,-0.0666396734859424,-0.2801,0.2238
"2","betaP","shaps_tot","sum-score",1,-0.0386236231784698,-0.292,0.2559
"3","betaP","panas_na","sum-score",2,-0.131042533663521,-0.4134,0.2856
"4","betaP","panas_na","sum-score",1,-0.160922388544959,-0.4985,0.09586
"5","betaP","panas_pa","sum-score",2,0.205672900630805,-0.04421,0.4495
"6","betaP","panas_pa","sum-score",1,-0.0237241193045845,-0.3272,0.3
"7","betaP","bis","sum-score",2,-0.103843815426695,-0.3569,0.1494
"8","betaP","bis","sum-score",1,-0.00530811136206176,-0.3219,0.2387
"9","betaP","basrewres","sum-score",2,-0.0571635900444521,-0.3377,0.2596
"10","betaP","basrewres","sum-score",1,-0.000167729545068919,-0.2771,0.2822
"11","betaP","basfunsk","sum-score",2,0.180761148053189,-0.1652,0.5205
"12","betaP","basfunsk","sum-score",1,0.14394898419798,-0.2113,0.4588
"13","betaP","basdrive","sum-score",2,-0.145361386086899,-0.455,0.2096
"14","betaP","basdrive","sum-score",1,-0.124800319418061,-0.4706,0.1989
"15","betaP","bastot","sum-score",2,-0.0133053433192486,-0.2966,0.3466
"16","betaP","bastot","sum-score",1,-0.00139591945819408,-0.2909,0.2937
"17","betaP","masqGDD","sum-score",1,0.0824419965171707,-0.1974,0.359
"18","betaP","masqAA","sum-score",1,0.0011103557306126,-0.2483,0.2696
"19","betaP","masqGDA","sum-score",1,0.04233441217762,-0.1752,0.2589
"20","betaP","prdep_tot","sum-score",1,-0.159153733124218,-0.4991,0.2047
"21","betaF","shaps_tot","sum-score",2,-0.171982341353278,-0.4524,0.1452
"22","betaF","shaps_tot","sum-score",1,-0.00109728067273858,-0.282,0.2702
"23","betaF","panas_na","sum-score",2,0.00861866269076295,-0.3538,0.3696
"24","betaF","panas_na","sum-score",1,-0.186655499534378,-0.4247,0.06662
"25","betaF","panas_pa","sum-score",2,0.114164354722803,-0.1756,0.4133
"26","betaF","panas_pa","sum-score",1,-0.170965721809999,-0.408,0.07914
"27","betaF","bis","sum-score",2,0.0630026492455432,-0.4744,0.4383
"28","betaF","bis","sum-score",1,0.22590307535365,-0.109,0.4904
"29","betaF","basrewres","sum-score",2,-0.264048569680106,-0.5295,0.06366
"30","betaF","basrewres","sum-score",1,-0.0592177378293039,-0.3192,0.2128
"31","betaF","basfunsk","sum-score",2,-0.0235922665104834,-0.3762,0.3741
"32","betaF","basfunsk","sum-score",1,-0.110958659355627,-0.4158,0.2313
"33","betaF","basdrive","sum-score",2,-0.0373744724520051,-0.479,0.5786
"34","betaF","basdrive","sum-score",1,-0.162950511968639,-0.434,0.1581
"35","betaF","bastot","sum-score",2,-0.134180998715917,-0.4707,0.3599
"36","betaF","bastot","sum-score",1,-0.146670840371639,-0.4251,0.1595
"37","betaF","masqGDD","sum-score",1,0.0616862140984171,-0.2168,0.3521
"38","betaF","masqAA","sum-score",1,-0.0580215327102138,-0.3042,0.2002
"39","betaF","masqGDA","sum-score",1,0.0185945300904085,-0.259,0.2932
"40","betaF","prdep_tot","sum-score",1,0.136254968461899,-0.1982,0.4333
"41","K","shaps_tot","sum-score",2,0.046918293712139,-0.2097,0.3436
"42","K","shaps_tot","sum-score",1,-0.17711008750286,-0.5391,0.1801
"43","K","panas_na","sum-score",2,0.237988229281406,-0.02217,0.4756
"44","K","panas_na","sum-score",1,0.137069666281683,-0.1321,0.4522
"45","K","panas_pa","sum-score",2,0.14016964377994,-0.1392,0.3993
"46","K","panas_pa","sum-score",1,0.0336165776028324,-0.2428,0.2961
"47","K","bis","sum-score",2,0.0284794762762775,-0.2193,0.2623
"48","K","bis","sum-score",1,-0.191359458528414,-0.4795,0.1165
"49","K","basrewres","sum-score",2,0.0178197784472964,-0.2999,0.3582
"50","K","basrewres","sum-score",1,0.116371550547955,-0.2152,0.3785
"51","K","basfunsk","sum-score",2,0.0287624468406406,-0.3159,0.4152
"52","K","basfunsk","sum-score",1,-0.0778578486579288,-0.3427,0.2193
"53","K","basdrive","sum-score",2,0.198743839047382,-0.08545,0.5065
"54","K","basdrive","sum-score",1,0.123746603727808,-0.1454,0.4403
"55","K","bastot","sum-score",2,0.118469996810291,-0.2314,0.5099
"56","K","bastot","sum-score",1,0.0731269677853591,-0.2391,0.398
"57","K","masqGDD","sum-score",1,-0.0934888486985597,-0.3934,0.2118
"58","K","masqAA","sum-score",1,0.0217405020364736,-0.2665,0.4374
"59","K","masqGDA","sum-score",1,-0.124563684804191,-0.4299,0.2746
"60","K","prdep_tot","sum-score",1,-0.146974103348917,-0.4214,0.1935
"61","Apun","shaps_tot","sum-score",2,-0.132206355458692,-0.3679,0.1625
"62","Apun","shaps_tot","sum-score",1,0.072601540815258,-0.19,0.2754
"63","Apun","panas_na","sum-score",2,0.1622966849704,-0.1435,0.4938
"64","Apun","panas_na","sum-score",1,0.274757643742806,-0.03005,0.6042
"65","Apun","panas_pa","sum-score",2,-0.1085759071129,-0.3738,0.1734
"66","Apun","panas_pa","sum-score",1,-0.236868164915951,-0.4777,0.02363
"67","Apun","bis","sum-score",2,0.141584767729595,-0.1902,0.4536
"68","Apun","bis","sum-score",1,0.336911593482125,0.08225,0.5506
"69","Apun","basrewres","sum-score",2,0.0754761811469978,-0.2203,0.3735
"70","Apun","basrewres","sum-score",1,-0.222045719556083,-0.5097,0.09286
"71","Apun","basfunsk","sum-score",2,-0.0160685654326531,-0.3503,0.2745
"72","Apun","basfunsk","sum-score",1,0.0779757765873397,-0.1884,0.3321
"73","Apun","basdrive","sum-score",2,-0.281998574167744,-0.5827,0.09019
"74","Apun","basdrive","sum-score",1,-0.205118111148588,-0.5597,0.08046
"75","Apun","bastot","sum-score",2,-0.135408532560421,-0.4192,0.1815
"76","Apun","bastot","sum-score",1,-0.149900690417024,-0.4366,0.1419
"77","Apun","masqGDD","sum-score",1,0.330556881638475,-0.05791,0.6321
"78","Apun","masqAA","sum-score",1,0.19000208957996,-0.1746,0.5447
"79","Apun","masqGDA","sum-score",1,0.331448190723776,-0.03148,0.6291
"80","Apun","prdep_tot","sum-score",1,0.199912223710565,-0.07851,0.4819
"81","Arew","shaps_tot","sum-score",2,0.00711803652151765,-0.3719,0.3036
"82","Arew","shaps_tot","sum-score",1,-0.0900993804495365,-0.428,0.191
"83","Arew","panas_na","sum-score",2,-0.0593407202871301,-0.3089,0.3135
"84","Arew","panas_na","sum-score",1,-0.192047120691147,-0.4422,0.06781
"85","Arew","panas_pa","sum-score",2,0.154604440807572,-0.1805,0.4657
"86","Arew","panas_pa","sum-score",1,0.183509012746754,-0.1537,0.4685
"87","Arew","bis","sum-score",2,-0.17578215164068,-0.4731,0.1403
"88","Arew","bis","sum-score",1,-0.08353780024792,-0.3353,0.1688
"89","Arew","basrewres","sum-score",2,0.0331595653462888,-0.2528,0.3411
"90","Arew","basrewres","sum-score",1,0.128270127705391,-0.1241,0.3641
"91","Arew","basfunsk","sum-score",2,0.181319877585159,-0.1715,0.4558
"92","Arew","basfunsk","sum-score",1,-0.0918212823573869,-0.4152,0.2207
"93","Arew","basdrive","sum-score",2,0.159810379793778,-0.1093,0.4235
"94","Arew","basdrive","sum-score",1,0.193011825881168,-0.07678,0.4184
"95","Arew","bastot","sum-score",2,0.196698749363198,-0.1323,0.4461
"96","Arew","bastot","sum-score",1,0.10267903338344,-0.1825,0.3604
"97","Arew","masqGDD","sum-score",1,-0.10300168591069,-0.3343,0.1863
"98","Arew","masqAA","sum-score",1,-0.0385020569733457,-0.2962,0.1843
"99","Arew","masqGDA","sum-score",1,-0.15535877867275,-0.3933,0.09905
"100","Arew","prdep_tot","sum-score",1,-0.059020966566538,-0.3346,0.237
