"","parameter","scale","type","session","r","lower","upper"
"1","betaP","shaps_tot","sum-score",2,-0.0931769855320135,-0.3859,0.202
"2","betaP","shaps_tot","sum-score",1,-0.00952034007376346,-0.2511,0.2721
"3","betaP","panas_na","sum-score",2,-0.0311973724587628,-0.3079,0.3436
"4","betaP","panas_na","sum-score",1,-0.0822068926919974,-0.4635,0.1988
"5","betaP","panas_pa","sum-score",2,0.108895847232523,-0.1532,0.369
"6","betaP","panas_pa","sum-score",1,-0.120869875603432,-0.3869,0.2012
"7","betaP","bis","sum-score",2,0.0173063831564081,-0.2942,0.275
"8","betaP","bis","sum-score",1,0.128037289047337,-0.2381,0.3706
"9","betaP","basrewres","sum-score",2,-0.065618156803341,-0.3289,0.2404
"10","betaP","basrewres","sum-score",1,-0.0476225973550459,-0.3263,0.2448
"11","betaP","basfunsk","sum-score",2,0.17983610008556,-0.1678,0.4964
"12","betaP","basfunsk","sum-score",1,0.21546467395359,-0.07454,0.4992
"13","betaP","basdrive","sum-score",2,-0.137809815719299,-0.4678,0.2367
"14","betaP","basdrive","sum-score",1,-0.132398190500961,-0.4902,0.1805
"15","betaP","bastot","sum-score",2,-0.0170899098580219,-0.3041,0.3362
"16","betaP","bastot","sum-score",1,0.00674727550833468,-0.2794,0.2795
"17","betaP","masqGDD","sum-score",1,0.119457374998875,-0.1815,0.383
"18","betaP","masqAA","sum-score",1,0.0326950630013736,-0.2205,0.3132
"19","betaP","masqGDA","sum-score",1,0.142450785515797,-0.1108,0.3764
"20","betaP","prdep_tot","sum-score",1,-0.0919902386189375,-0.4556,0.2404
"21","betaF","shaps_tot","sum-score",2,-0.38211579095146,-0.6161,-0.1186
"22","betaF","shaps_tot","sum-score",1,-0.032177383024868,-0.338,0.2867
"23","betaF","panas_na","sum-score",2,-0.230313933606341,-0.4972,0.09999
"24","betaF","panas_na","sum-score",1,-0.0941013172309731,-0.3635,0.1608
"25","betaF","panas_pa","sum-score",2,0.101585712626137,-0.2274,0.4323
"26","betaF","panas_pa","sum-score",1,-0.197327789774541,-0.401,0.07431
"27","betaF","bis","sum-score",2,0.115168622860071,-0.1991,0.4237
"28","betaF","bis","sum-score",1,0.201038638682265,-0.1281,0.4747
"29","betaF","basrewres","sum-score",2,-0.03318064418108,-0.3041,0.2333
"30","betaF","basrewres","sum-score",1,0.0291982437251738,-0.2446,0.3198
"31","betaF","basfunsk","sum-score",2,-0.268132226118259,-0.5261,0.1438
"32","betaF","basfunsk","sum-score",1,-0.162821159905184,-0.4069,0.1189
"33","betaF","basdrive","sum-score",2,-0.41368189430157,-0.654,-0.107
"34","betaF","basdrive","sum-score",1,-0.161129265509512,-0.4564,0.1744
"35","betaF","bastot","sum-score",2,-0.347886782023113,-0.5768,-0.08977
"36","betaF","bastot","sum-score",1,-0.132476618508009,-0.4248,0.1672
"37","betaF","masqGDD","sum-score",1,0.0536448108591034,-0.223,0.2872
"38","betaF","masqAA","sum-score",1,-0.146699109037869,-0.4131,0.1475
"39","betaF","masqGDA","sum-score",1,-0.0696680879350246,-0.3379,0.1892
"40","betaF","prdep_tot","sum-score",1,0.0742687080259719,-0.2369,0.34
"41","K","shaps_tot","sum-score",2,0.10905892591824,-0.1602,0.3885
"42","K","shaps_tot","sum-score",1,-0.106033316578495,-0.4213,0.1934
"43","K","panas_na","sum-score",2,0.24726148466151,-0.07722,0.5069
"44","K","panas_na","sum-score",1,0.0242825249126457,-0.2463,0.3515
"45","K","panas_pa","sum-score",2,0.184913317050916,-0.09102,0.421
"46","K","panas_pa","sum-score",1,0.0988775155964977,-0.2023,0.3374
"47","K","bis","sum-score",2,-0.0918157684221869,-0.3113,0.1546
"48","K","bis","sum-score",1,-0.223408604825489,-0.504,0.09031
"49","K","basrewres","sum-score",2,0.112756830016756,-0.2083,0.4061
"50","K","basrewres","sum-score",1,0.16386448549605,-0.1112,0.3742
"51","K","basfunsk","sum-score",2,0.0319637481035638,-0.3215,0.3987
"52","K","basfunsk","sum-score",1,-0.138138956835198,-0.413,0.141
"53","K","basdrive","sum-score",2,0.189488482102298,-0.07924,0.4789
"54","K","basdrive","sum-score",1,0.145199724310415,-0.1007,0.4243
"55","K","bastot","sum-score",2,0.15352638814612,-0.1845,0.5004
"56","K","bastot","sum-score",1,0.0797168046367674,-0.1962,0.372
"57","K","masqGDD","sum-score",1,-0.138705582296131,-0.4166,0.1633
"58","K","masqAA","sum-score",1,-0.00559925818100646,-0.2806,0.3248
"59","K","masqGDA","sum-score",1,-0.202909972070908,-0.4911,0.1275
"60","K","prdep_tot","sum-score",1,-0.123588940205039,-0.4104,0.2099
"61","Apun","shaps_tot","sum-score",2,-0.0703888759061402,-0.2897,0.214
"62","Apun","shaps_tot","sum-score",1,0.0647353980547873,-0.1332,0.2224
"63","Apun","panas_na","sum-score",2,0.0996491023804038,-0.1811,0.3801
"64","Apun","panas_na","sum-score",1,0.332901797109821,0.02455,0.7195
"65","Apun","panas_pa","sum-score",2,-0.0154850685372872,-0.3827,0.3267
"66","Apun","panas_pa","sum-score",1,-0.121840195348078,-0.4198,0.1477
"67","Apun","bis","sum-score",2,-0.00100755555709107,-0.35,0.391
"68","Apun","bis","sum-score",1,0.187991613056625,-0.1073,0.417
"69","Apun","basrewres","sum-score",2,0.169226885064363,-0.1049,0.4189
"70","Apun","basrewres","sum-score",1,-0.210084043343636,-0.4762,0.07672
"71","Apun","basfunsk","sum-score",2,0.0997624433975942,-0.2676,0.383
"72","Apun","basfunsk","sum-score",1,0.077500273081694,-0.235,0.356
"73","Apun","basdrive","sum-score",2,-0.116445363655998,-0.5044,0.2633
"74","Apun","basdrive","sum-score",1,-0.163546905666163,-0.4683,0.1032
"75","Apun","bastot","sum-score",2,0.0385521913999757,-0.3079,0.3412
"76","Apun","bastot","sum-score",1,-0.131563034925075,-0.3989,0.188
"77","Apun","masqGDD","sum-score",1,0.382223173295081,-0.02076,0.6683
"78","Apun","masqAA","sum-score",1,0.26214918811033,-0.09605,0.6544
"79","Apun","masqGDA","sum-score",1,0.378699782798346,0.03333,0.6744
"80","Apun","prdep_tot","sum-score",1,0.0586310882508681,-0.2399,0.3416
"81","Arew","shaps_tot","sum-score",2,0.0592214306777112,-0.3211,0.3701
"82","Arew","shaps_tot","sum-score",1,-0.0216823145929726,-0.3931,0.337
"83","Arew","panas_na","sum-score",2,-0.137123478519367,-0.397,0.1721
"84","Arew","panas_na","sum-score",1,-0.245153893457816,-0.6106,0.03587
"85","Arew","panas_pa","sum-score",2,0.24188524726653,-0.08722,0.5248
"86","Arew","panas_pa","sum-score",1,0.228157235075401,0.00125,0.4685
"87","Arew","bis","sum-score",2,-0.203793035027403,-0.5256,0.2058
"88","Arew","bis","sum-score",1,-0.276524369648889,-0.5248,0.01299
"89","Arew","basrewres","sum-score",2,-0.0998328887079815,-0.3643,0.1534
"90","Arew","basrewres","sum-score",1,0.0685821633609854,-0.1609,0.298
"91","Arew","basfunsk","sum-score",2,0.211470267143554,-0.1766,0.5102
"92","Arew","basfunsk","sum-score",1,0.0368147147689325,-0.3123,0.4053
"93","Arew","basdrive","sum-score",2,0.183784568733902,-0.2145,0.5881
"94","Arew","basdrive","sum-score",1,0.128338039920238,-0.1895,0.4104
"95","Arew","bastot","sum-score",2,0.16763911866693,-0.1655,0.4839
"96","Arew","bastot","sum-score",1,0.0944358101005953,-0.1965,0.3643
"97","Arew","masqGDD","sum-score",1,-0.120785435763523,-0.317,0.1012
"98","Arew","masqAA","sum-score",1,-0.064206052948822,-0.2895,0.1463
"99","Arew","masqGDA","sum-score",1,-0.112296771311394,-0.3284,0.1238
"100","Arew","prdep_tot","sum-score",1,-0.249468741670061,-0.5304,0.0526
