,parameter,scale,r,lower,upper,sig,,Example,negative correlation,,,Example,positive correlation,
2,RewPun_ratio,panas_na,-0.288997255,-0.5263,-0.02862,*,,SR score,1,10,,SR score,1,10
6,RewPun_ratio,basfunsk,-0.27598379,-0.5052,-0.02124,*,,ratio,0.477121255,-0.477121255,,ratio,-0.477121255,0.477121255
11,RewPun_ratio,masqGDA,-0.30944168,-0.548,-0.02491,*,,Arew,0.75,0.25,,Arew,0.25,0.75
54,Apun,basfunsk,0.269030699,0.02909,0.4672,*,,Apun,0.25,0.75,,Apun,0.75,0.25
62,Arew,panas_na,-0.225584885,-0.386,-0.04434,*,,,,,,,,
64,Arew,bis,-0.29288364,-0.5219,-0.0448,*,,SR score,lower,higher,,SR score,lower,higher
65,Arew,basrewres,0.286524472,0.03428,0.4758,*,,ratio,higher,lower,,ratio,lower,higher
71,Arew,masqGDA,-0.291748466,-0.4678,-0.03445,*,,Arew,higher,lower,,Arew,lower,higher
1,RewPun_ratio,shaps_tot,0.011810899,-0.3609,0.2421,,,Apun,lower,higher,,Apun,higher,lower
3,RewPun_ratio,panas_pa,0.017861653,-0.2919,0.2823,,,,,,,,,
4,RewPun_ratio,bis,-0.185269667,-0.3952,0.06917,,,SR score,high,low,,SR score,high,low
5,RewPun_ratio,basrewres,0.184692958,-0.09927,0.4292,,,ratio,Arew<Apun,Arew>Apun,,ratio,Arew>Apun,Arew<Apun
7,RewPun_ratio,basdrive,0.178745405,-0.0819,0.4856,,,,,,,,,
8,RewPun_ratio,bastot,0.051788389,-0.2283,0.3201,,,,,,,,,
9,RewPun_ratio,masqGDD,-0.232142273,-0.4957,0.07437,,,,,,,,,
10,RewPun_ratio,masqAA,-0.1839493,-0.4928,0.1099,,,,,,,,,
12,RewPun_ratio,prdep_tot,0.004873377,-0.2461,0.245,,,,,,,,,
13,betaP,shaps_tot,-0.079523435,-0.3025,0.1674,,,,,,,,,
14,betaP,panas_na,-0.004813706,-0.2934,0.2039,,,,,,,,,
15,betaP,panas_pa,0.051607666,-0.1992,0.294,,,,,,,,,
16,betaP,bis,0.053166045,-0.3358,0.34,,,,,,,,,
17,betaP,basrewres,-0.18019118,-0.3653,0.03897,,,,,,,,,
18,betaP,basfunsk,0.23544742,-0.1561,0.5552,,,,,,,,,
19,betaP,basdrive,-0.087140476,-0.5116,0.3774,,,,,,,,,
20,betaP,bastot,-0.02188726,-0.3677,0.3573,,,,,,,,,
