"","parameter","scale","type","session","r","lower","upper"
"1","RewPun_ratio","shaps_tot","sum-score",2,-0.0287443582693893,-0.3791,0.2285
"2","RewPun_ratio","shaps_tot","sum-score",1,-0.00506650724003467,-0.4136,0.2531
"3","RewPun_ratio","panas_na","sum-score",2,-0.103498892943195,-0.4408,0.2278
"4","RewPun_ratio","panas_na","sum-score",1,-0.263587786281369,-0.5383,0.01545
"5","RewPun_ratio","panas_pa","sum-score",2,0.108229326180885,-0.1813,0.3711
"6","RewPun_ratio","panas_pa","sum-score",1,0.0378563963985061,-0.3042,0.3334
"7","RewPun_ratio","bis","sum-score",2,0.0778617614259083,-0.1883,0.3356
"8","RewPun_ratio","bis","sum-score",1,-0.27417431027897,-0.501,-0.001194
"9","RewPun_ratio","basrewres","sum-score",2,-0.0678613767289136,-0.3541,0.2157
"10","RewPun_ratio","basrewres","sum-score",1,0.244805736007863,-0.03565,0.5017
"11","RewPun_ratio","basfunsk","sum-score",2,-0.210825154028668,-0.5007,0.1119
"12","RewPun_ratio","basfunsk","sum-score",1,-0.282573163172032,-0.5164,-0.01115
"13","RewPun_ratio","basdrive","sum-score",2,0.0515347588621864,-0.2693,0.4287
"14","RewPun_ratio","basdrive","sum-score",1,0.21464471080173,-0.04368,0.4953
"15","RewPun_ratio","bastot","sum-score",2,-0.0846399451099337,-0.3997,0.2159
"16","RewPun_ratio","bastot","sum-score",1,0.0833261056315874,-0.2143,0.3575
"17","RewPun_ratio","masqGDD","sum-score",1,-0.281294418007306,-0.5432,0.04433
"18","RewPun_ratio","masqAA","sum-score",1,-0.199809774444248,-0.492,0.09434
"19","RewPun_ratio","masqGDA","sum-score",1,-0.371389949802364,-0.6066,-0.076
"20","RewPun_ratio","prdep_tot","sum-score",1,-0.0356688909870935,-0.3161,0.2297
"21","betaP","shaps_tot","sum-score",2,-0.100565913734801,-0.335,0.1249
"22","betaP","shaps_tot","sum-score",1,0.00078657680678207,-0.2459,0.3586
"23","betaP","panas_na","sum-score",2,-0.0249230213132702,-0.3958,0.313
"24","betaP","panas_na","sum-score",1,-0.0535474197579359,-0.5507,0.2289
"25","betaP","panas_pa","sum-score",2,0.127857046188483,-0.1159,0.3944
"26","betaP","panas_pa","sum-score",1,-0.0289201600516352,-0.306,0.2417
"27","betaP","bis","sum-score",2,-0.106082898371119,-0.4463,0.2204
"28","betaP","bis","sum-score",1,0.146222308418465,-0.2813,0.4265
"29","betaP","basrewres","sum-score",2,-0.0903206708807237,-0.3702,0.2744
"30","betaP","basrewres","sum-score",1,-0.200402698141166,-0.4086,-0.0003108
"31","betaP","basfunsk","sum-score",2,0.314070539239923,-0.055,0.6526
"32","betaP","basfunsk","sum-score",1,0.214612988898794,-0.1401,0.5233
"33","betaP","basdrive","sum-score",2,0.0615699487823866,-0.4354,0.5228
"34","betaP","basdrive","sum-score",1,-0.160397905291842,-0.5382,0.2115
"35","betaP","bastot","sum-score",2,0.138751722293148,-0.28,0.5657
"36","betaP","bastot","sum-score",1,-0.0699062612056258,-0.3696,0.2461
"37","betaP","masqGDD","sum-score",1,0.204698267564211,-0.1128,0.4601
"38","betaP","masqAA","sum-score",1,0.212349753830599,0.03269,0.4155
"39","betaP","masqGDA","sum-score",1,0.227466578377781,0.02281,0.4064
"40","betaP","prdep_tot","sum-score",1,0.0634174437861052,-0.3699,0.4069
"41","betaF","shaps_tot","sum-score",2,-0.430361427235491,-0.6592,-0.1331
"42","betaF","shaps_tot","sum-score",1,-0.0136314183460311,-0.3066,0.3569
"43","betaF","panas_na","sum-score",2,-0.0617351226046433,-0.3553,0.2081
"44","betaF","panas_na","sum-score",1,-0.128588739599213,-0.3865,0.1025
"45","betaF","panas_pa","sum-score",2,0.0438719414192692,-0.2794,0.3676
"46","betaF","panas_pa","sum-score",1,-0.276903941709632,-0.4867,-0.02797
"47","betaF","bis","sum-score",2,0.138500256909772,-0.1954,0.458
"48","betaF","bis","sum-score",1,0.133153755766353,-0.1516,0.3966
