"","parameter","scale","type","session","r","lower","upper"
"1","betaP","shaps_tot","sum-score",2,-0.0931769855320135,-0.3797,0.2053
"2","betaP","shaps_tot","sum-score",1,-0.00952034007376346,-0.2567,0.2732
"3","betaP","panas_na","sum-score",2,-0.0311973724587628,-0.3047,0.356
"4","betaP","panas_na","sum-score",1,-0.0822068926919974,-0.4651,0.2026
"5","betaP","panas_pa","sum-score",2,0.108895847232523,-0.1485,0.3789
"6","betaP","panas_pa","sum-score",1,-0.120869875603432,-0.3914,0.2003
"7","betaP","bis","sum-score",2,0.0173063831564081,-0.2913,0.28
"8","betaP","bis","sum-score",1,0.128037289047337,-0.2481,0.367
"9","betaP","basrewres","sum-score",2,-0.065618156803341,-0.3351,0.2323
"10","betaP","basrewres","sum-score",1,-0.0476225973550459,-0.322,0.2541
"11","betaP","basfunsk","sum-score",2,0.17983610008556,-0.1723,0.495
"12","betaP","basfunsk","sum-score",1,0.21546467395359,-0.06644,0.5002
"13","betaP","basdrive","sum-score",2,-0.137809815719299,-0.4663,0.2373
"14","betaP","basdrive","sum-score",1,-0.132398190500961,-0.4896,0.1843
"15","betaP","bastot","sum-score",2,-0.0170899098580219,-0.3025,0.3401
"16","betaP","bastot","sum-score",1,0.00674727550833468,-0.2853,0.2839
"17","betaP","masqGDD","sum-score",1,0.119457374998875,-0.1766,0.3805
"18","betaP","masqAA","sum-score",1,0.0326950630013736,-0.2322,0.2994
"19","betaP","masqGDA","sum-score",1,0.142450785515797,-0.1051,0.3842
"20","betaP","prdep_tot","sum-score",1,-0.0919902386189375,-0.4334,0.2429
"21","betaF","shaps_tot","sum-score",2,-0.38211579095146,-0.6101,-0.1201
"22","betaF","shaps_tot","sum-score",1,-0.032177383024868,-0.3308,0.282
"23","betaF","panas_na","sum-score",2,-0.230313933606341,-0.4844,0.1266
"24","betaF","panas_na","sum-score",1,-0.0941013172309731,-0.3593,0.16
"25","betaF","panas_pa","sum-score",2,0.101585712626137,-0.2229,0.4349
"26","betaF","panas_pa","sum-score",1,-0.197327789774541,-0.4004,0.06327
"27","betaF","bis","sum-score",2,0.115168622860071,-0.2011,0.4157
"28","betaF","bis","sum-score",1,0.201038638682265,-0.1245,0.4739
"29","betaF","basrewres","sum-score",2,-0.03318064418108,-0.3022,0.2458
"30","betaF","basrewres","sum-score",1,0.0291982437251738,-0.2382,0.3176
"31","betaF","basfunsk","sum-score",2,-0.268132226118259,-0.5282,0.1503
"32","betaF","basfunsk","sum-score",1,-0.162821159905184,-0.4172,0.1055
"33","betaF","basdrive","sum-score",2,-0.41368189430157,-0.6578,-0.1145
"34","betaF","basdrive","sum-score",1,-0.161129265509512,-0.4532,0.1768
"35","betaF","bastot","sum-score",2,-0.347886782023113,-0.5684,-0.08315
"36","betaF","bastot","sum-score",1,-0.132476618508009,-0.406,0.1745
"37","betaF","masqGDD","sum-score",1,0.0536448108591034,-0.2189,0.2926
"38","betaF","masqAA","sum-score",1,-0.146699109037869,-0.4186,0.1417
"39","betaF","masqGDA","sum-score",1,-0.0696680879350246,-0.3308,0.1915
"40","betaF","prdep_tot","sum-score",1,0.0742687080259719,-0.2297,0.348
"41","K","shaps_tot","sum-score",2,0.10905892591824,-0.1568,0.3855
"42","K","shaps_tot","sum-score",1,-0.106033316578495,-0.4301,0.1951
"43","K","panas_na","sum-score",2,0.24726148466151,-0.07849,0.5141
"44","K","panas_na","sum-score",1,0.0242825249126457,-0.2492,0.3396
"45","K","panas_pa","sum-score",2,0.184913317050916,-0.08248,0.4289
"46","K","panas_pa","sum-score",1,0.0988775155964977,-0.2027,0.3402
"47","K","bis","sum-score",2,-0.0918157684221869,-0.3124,0.1509
"48","K","bis","sum-score",1,-0.223408604825489,-0.505,0.08581
"49","K","basrewres","sum-score",2,0.112756830016756,-0.2058,0.4079
"50","K","basrewres","sum-score",1,0.16386448549605,-0.1183,0.3691
"51","K","basfunsk","sum-score",2,0.0319637481035638,-0.3123,0.4003
"52","K","basfunsk","sum-score",1,-0.138138956835198,-0.4098,0.1361
"53","K","basdrive","sum-score",2,0.189488482102298,-0.07719,0.4853
"54","K","basdrive","sum-score",1,0.145199724310415,-0.105,0.4176
"55","K","bastot","sum-score",2,0.15352638814612,-0.1883,0.495
"56","K","bastot","sum-score",1,0.0797168046367674,-0.1984,0.3768
"57","K","masqGDD","sum-score",1,-0.138705582296131,-0.416,0.1631
"58","K","masqAA","sum-score",1,-0.00559925818100646,-0.2799,0.332
"59","K","masqGDA","sum-score",1,-0.202909972070908,-0.4894,0.1337
"60","K","prdep_tot","sum-score",1,-0.123588940205039,-0.4005,0.2002
"61","Apun","shaps_tot","sum-score",2,-0.0703888759061401,-0.288,0.2148
"62","Apun","shaps_tot","sum-score",1,0.0647353980547873,-0.1384,0.2257
"63","Apun","panas_na","sum-score",2,0.0996491023804038,-0.1643,0.3899
"64","Apun","panas_na","sum-score",1,0.332901797109821,0.02603,0.7234
"65","Apun","panas_pa","sum-score",2,-0.0154850685372872,-0.3676,0.3388
"66","Apun","panas_pa","sum-score",1,-0.121840195348078,-0.4081,0.1463
"67","Apun","bis","sum-score",2,-0.00100755555709106,-0.3479,0.3964
"68","Apun","bis","sum-score",1,0.187991613056625,-0.1113,0.4187
"69","Apun","basrewres","sum-score",2,0.169226885064363,-0.1155,0.4148
"70","Apun","basrewres","sum-score",1,-0.210084043343636,-0.477,0.08648
"71","Apun","basfunsk","sum-score",2,0.0997624433975942,-0.2631,0.3773
"72","Apun","basfunsk","sum-score",1,0.077500273081694,-0.2262,0.3591
"73","Apun","basdrive","sum-score",2,-0.116445363655998,-0.5202,0.2524
"74","Apun","basdrive","sum-score",1,-0.163546905666163,-0.4768,0.1081
"75","Apun","bastot","sum-score",2,0.0385521913999757,-0.3071,0.3371
"76","Apun","bastot","sum-score",1,-0.131563034925075,-0.4038,0.1695
"77","Apun","masqGDD","sum-score",1,0.382223173295081,-0.0118,0.6683
"78","Apun","masqAA","sum-score",1,0.26214918811033,-0.0944,0.6597
"79","Apun","masqGDA","sum-score",1,0.378699782798346,0.03558,0.6841
"80","Apun","prdep_tot","sum-score",1,0.0586310882508681,-0.2453,0.3393
"81","Arew","shaps_tot","sum-score",2,0.0592214306777112,-0.3243,0.3659
"82","Arew","shaps_tot","sum-score",1,-0.0216823145929726,-0.3906,0.3447
"83","Arew","panas_na","sum-score",2,-0.137123478519367,-0.4067,0.1743
"84","Arew","panas_na","sum-score",1,-0.245153893457816,-0.6053,0.03922
"85","Arew","panas_pa","sum-score",2,0.24188524726653,-0.08854,0.5212
"86","Arew","panas_pa","sum-score",1,0.228157235075401,0.002481,0.4777
"87","Arew","bis","sum-score",2,-0.203793035027403,-0.5262,0.2097
"88","Arew","bis","sum-score",1,-0.276524369648889,-0.5191,0.01638
"89","Arew","basrewres","sum-score",2,-0.0998328887079815,-0.3568,0.1537
"90","Arew","basrewres","sum-score",1,0.0685821633609854,-0.1633,0.3035
"91","Arew","basfunsk","sum-score",2,0.211470267143554,-0.1842,0.5069
