"","card","scale","proportion_good_1_1","proportion_good_2_1","proportion_good_1_2","proportion_good_2_2"
"1","A","bastot","-.01 (-.32,  .31)"," .03 (-.29,  .34)"," .12 (-.20,  .41)","-.07 (-.33,  .28)"
"2","A","basdrive","-.01 (-.36,  .30)"," .06 (-.22,  .34)"," .10 (-.25,  .40)"," .05 (-.24,  .42)"
"3","A","basfunsk","-.16 (-.46,  .22)"," .04 (-.32,  .40)"," .02 (-.28,  .32)"," .00 (-.33,  .34)"
"4","A","basrewres"," .15 (-.19,  .44)","-.04 (-.31,  .25)"," .16 (-.18,  .47)","-.27 (-.51,  .01)"
"5","A","bis","-.07 (-.39,  .25)","-.16 (-.46,  .17)","-.01 (-.36,  .32)","-.09 (-.43,  .29)"
"6","A","panas_pa"," .36 ( .05,  .60)*"," .03 (-.24,  .34)"," .54 ( .28,  .72)*","-.02 (-.35,  .34)"
"7","A","panas_na","-.46 (-.63, -.25)*","-.06 (-.41,  .25)","-.23 (-.55,  .12)","-.14 (-.39,  .14)"
"8","A","masqGDA","-.38 (-.63, -.07)*"," .03 (-.27,  .35)","",""
"9","A","masqAA","-.28 (-.50, -.03)*","-.05 (-.36,  .25)","",""
"10","A","masqGDD","-.34 (-.60, -.09)*","-.03 (-.30,  .25)","",""
"11","A","masqAD","-.46 (-.70, -.16)*"," .05 (-.29,  .35)","",""
"12","A","shaps_tot"," .12 (-.23,  .45)","-.09 (-.44,  .38)"," .25 (-.12,  .55)","-.05 (-.41,  .34)"
"13","A","prdep_tot","-.27 (-.53,  .03)","-.11 (-.43,  .19)","",""
"14","B","bastot","-.03 (-.34,  .30)","-.06 (-.38,  .29)","-.21 (-.52,  .24)","-.11 (-.41,  .30)"
"15","B","basdrive","-.14 (-.41,  .17)","-.09 (-.44,  .32)","-.19 (-.47,  .20)","-.03 (-.42,  .43)"
"16","B","basfunsk"," .17 (-.19,  .46)","-.01 (-.36,  .38)","-.02 (-.37,  .38)","-.04 (-.37,  .33)"
"17","B","basrewres","-.06 (-.34,  .25)","-.02 (-.31,  .29)","-.26 (-.50,  .07)","-.20 (-.49,  .11)"
"18","B","bis"," .14 (-.20,  .47)"," .00 (-.33,  .29)"," .18 (-.13,  .44)","-.05 (-.40,  .25)"
"19","B","panas_pa","-.16 (-.41,  .13)","-.01 (-.28,  .27)"," .06 (-.26,  .35)"," .02 (-.25,  .31)"
"20","B","panas_na","-.28 (-.68,  .10)","-.14 (-.51,  .15)"," .06 (-.32,  .43)","-.27 (-.53,  .03)"
"21","B","masqGDA","-.15 (-.62,  .28)"," .06 (-.20,  .34)","",""
"22","B","masqAA","-.15 (-.62,  .29)","-.17 (-.45,  .10)","",""
"23","B","masqGDD","-.16 (-.61,  .29)","-.03 (-.30,  .25)","",""
"24","B","masqAD","-.04 (-.31,  .29)","-.03 (-.35,  .27)","",""
"25","B","shaps_tot","-.12 (-.40,  .16)","-.15 (-.42,  .32)","-.16 (-.42,  .10)","-.08 (-.39,  .34)"
"26","B","prdep_tot","-.06 (-.36,  .29)","-.14 (-.45,  .18)","",""
"27","C","bastot"," .18 (-.16,  .45)"," .00 (-.27,  .32)","-.04 (-.40,  .28)"," .14 (-.18,  .47)"
"28","C","basdrive"," .21 (-.14,  .53)","-.09 (-.38,  .27)"," .16 (-.18,  .44)"," .03 (-.35,  .49)"
"29","C","basfunsk"," .15 (-.14,  .41)"," .11 (-.24,  .47)","-.13 (-.48,  .25)"," .23 (-.07,  .48)"
"30","C","basrewres"," .06 (-.24,  .36)"," .02 (-.24,  .31)","-.17 (-.44,  .11)"," .04 (-.26,  .36)"
"31","C","bis","-.10 (-.35,  .19)","-.12 (-.46,  .23)","-.17 (-.42,  .14)","-.01 (-.39,  .41)"
"32","C","panas_pa"," .21 (-.07,  .51)"," .05 (-.21,  .32)"," .07 (-.28,  .43)"," .23 (-.05,  .48)"
"33","C","panas_na","-.05 (-.33,  .23)","-.36 (-.66,  .00)*","-.10 (-.39,  .21)"," .09 (-.25,  .38)"
"34","C","masqGDA"," .08 (-.19,  .41)","-.17 (-.48,  .17)","",""
"35","C","masqAA"," .05 (-.26,  .28)","-.09 (-.41,  .23)","",""
"36","C","masqGDD"," .01 (-.30,  .30)","-.22 (-.51,  .14)","",""
"37","C","masqAD"," .01 (-.33,  .35)","-.29 (-.58,  .11)","",""
"38","C","shaps_tot","-.21 (-.48,  .07)"," .08 (-.28,  .45)","-.26 (-.59,  .06)"," .05 (-.25,  .37)"
"39","C","prdep_tot"," .01 (-.32,  .32)","-.32 (-.60,  .07)","",""
"40","D","bastot","-.11 (-.36,  .19)"," .12 (-.14,  .40)","-.15 (-.42,  .13)","-.01 (-.39,  .43)"
"41","D","basdrive","-.19 (-.44,  .06)","-.07 (-.35,  .33)","-.11 (-.34,  .17)","-.02 (-.49,  .60)"
"42","D","basfunsk"," .07 (-.23,  .35)"," .34 ( .03,  .64)*","-.03 (-.39,  .31)"," .19 (-.22,  .53)"
"43","D","basrewres","-.09 (-.36,  .20)"," .08 (-.18,  .36)","-.18 (-.43,  .11)","-.22 (-.45,  .07)"
"44","D","bis"," .22 (-.06,  .48)","-.01 (-.47,  .31)"," .15 (-.15,  .42)","-.05 (-.49,  .36)"
"45","D","panas_pa"," .00 (-.33,  .37)"," .11 (-.16,  .37)","-.03 (-.35,  .26)"," .16 (-.09,  .40)"
"46","D","panas_na"," .08 (-.19,  .30)","-.29 (-.68,  .05)","-.08 (-.38,  .20)","-.05 (-.40,  .28)"
