"","card","scale","proportion_good"
"1","A","basdrive"," .09 (-.23,  .43)"
"2","A","basfunsk","-.12 (-.44,  .26)"
"3","A","basrewres"," .06 (-.20,  .32)"
"4","A","bastot"," .02 (-.26,  .34)"
"5","A","bis","-.15 (-.45,  .18)"
"6","A","masqAA","-.20 (-.45,  .07)"
"7","A","masqAD","-.14 (-.44,  .23)"
"8","A","masqGDA","-.22 (-.47,  .06)"
"9","A","masqGDD","-.16 (-.44,  .19)"
"10","A","panas_na","-.35 (-.56, -.08)*"
"11","A","panas_pa"," .11 (-.20,  .41)"
"12","A","prdep_tot","-.16 (-.47,  .21)"
"13","A","shaps_tot"," .05 (-.29,  .28)"
"14","B","basdrive","-.12 (-.41,  .26)"
"15","B","basfunsk","-.03 (-.38,  .35)"
"16","B","basrewres","-.05 (-.30,  .24)"
"17","B","bastot","-.09 (-.39,  .25)"
"18","B","bis"," .01 (-.32,  .30)"
"19","B","masqAA","-.21 (-.47,  .06)"
"20","B","masqAD"," .03 (-.29,  .32)"
"21","B","masqGDA","-.13 (-.43,  .18)"
"22","B","masqGDD","-.11 (-.42,  .24)"
"23","B","panas_na","-.33 (-.57, -.06)*"
"24","B","panas_pa","-.06 (-.33,  .20)"
"25","B","prdep_tot","-.07 (-.38,  .27)"
"26","B","shaps_tot","-.13 (-.39,  .12)"
"27","C","basdrive"," .03 (-.30,  .41)"
"28","C","basfunsk"," .00 (-.39,  .36)"
"29","C","basrewres","-.09 (-.33,  .15)"
"30","C","bastot","-.02 (-.34,  .33)"
"31","C","bis","-.12 (-.48,  .26)"
"32","C","masqAA"," .05 (-.21,  .27)"
"33","C","masqAD","-.08 (-.42,  .29)"
"34","C","masqGDA","-.01 (-.29,  .23)"
"35","C","masqGDD","-.04 (-.31,  .30)"
"36","C","panas_na","-.13 (-.39,  .14)"
"37","C","panas_pa"," .16 (-.16,  .42)"
"38","C","prdep_tot","-.07 (-.42,  .32)"
"39","C","shaps_tot","-.09 (-.26,  .15)"
"40","D","basdrive","-.26 (-.53,  .19)"
"41","D","basfunsk"," .04 (-.25,  .38)"
"42","D","basrewres","-.17 (-.38,  .07)"
"43","D","bastot","-.18 (-.44,  .14)"
"44","D","bis"," .28 (-.09,  .53)"
"45","D","masqAA"," .09 (-.15,  .31)"
"46","D","masqAD"," .04 (-.28,  .34)"
"47","D","masqGDA"," .14 (-.09,  .35)"
"48","D","masqGDD"," .13 (-.11,  .34)"
"49","D","panas_na","-.10 (-.32,  .14)"
"50","D","panas_pa"," .01 (-.23,  .24)"
"51","D","prdep_tot"," .06 (-.30,  .35)"
"52","D","shaps_tot","-.07 (-.28,  .17)"
