"","card","scale","proportion_good_1_1","proportion_good_2_1","proportion_good_1_2","proportion_good_2_2"
"1","A","bastot","-.01"," .03"," .12","-.07"
"2","A","basdrive","-.01"," .06"," .10"," .05"
"3","A","basfunsk","-.16"," .04"," .02"," .00"
"4","A","basrewres"," .15","-.04"," .16","-.27"
"5","A","bis","-.07","-.16","-.01","-.09"
"6","A","panas_pa"," .36"," .03"," .54","-.02"
"7","A","panas_na","-.46","-.06","-.23","-.14"
"8","A","masqGDA","-.38"," .03","",""
"9","A","masqAA","-.28","-.05","",""
"10","A","masqGDD","-.34","-.03","",""
"11","A","masqAD","-.46"," .05","",""
"12","A","shaps_tot"," .12","-.09"," .25","-.05"
"13","A","prdep_tot","-.27","-.11","",""
"14","B","bastot","-.03","-.06","-.21","-.11"
"15","B","basdrive","-.14","-.09","-.19","-.03"
"16","B","basfunsk"," .17","-.01","-.02","-.04"
"17","B","basrewres","-.06","-.02","-.26","-.20"
"18","B","bis"," .14"," .00"," .18","-.05"
"19","B","panas_pa","-.16","-.01"," .06"," .02"
"20","B","panas_na","-.28","-.14"," .06","-.27"
"21","B","masqGDA","-.15"," .06","",""
"22","B","masqAA","-.15","-.17","",""
"23","B","masqGDD","-.16","-.03","",""
"24","B","masqAD","-.04","-.03","",""
"25","B","shaps_tot","-.12","-.15","-.16","-.08"
"26","B","prdep_tot","-.06","-.14","",""
"27","C","bastot"," .18"," .00","-.04"," .14"
"28","C","basdrive"," .21","-.09"," .16"," .03"
"29","C","basfunsk"," .15"," .11","-.13"," .23"
"30","C","basrewres"," .06"," .02","-.17"," .04"
"31","C","bis","-.10","-.12","-.17","-.01"
"32","C","panas_pa"," .21"," .05"," .07"," .23"
"33","C","panas_na","-.05","-.36","-.10"," .09"
"34","C","masqGDA"," .08","-.17","",""
"35","C","masqAA"," .05","-.09","",""
"36","C","masqGDD"," .01","-.22","",""
"37","C","masqAD"," .01","-.29","",""
"38","C","shaps_tot","-.21"," .08","-.26"," .05"
"39","C","prdep_tot"," .01","-.32","",""
"40","D","bastot","-.11"," .12","-.15","-.01"
"41","D","basdrive","-.19","-.07","-.11","-.02"
"42","D","basfunsk"," .07"," .34","-.03"," .19"
"43","D","basrewres","-.09"," .08","-.18","-.22"
"44","D","bis"," .22","-.01"," .15","-.05"
"45","D","panas_pa"," .00"," .11","-.03"," .16"
"46","D","panas_na"," .08","-.29","-.08","-.05"
"47","D","masqGDA"," .13","-.09","",""
"48","D","masqAA"," .04","-.12","",""
"49","D","masqGDD"," .08","-.08","",""
"50","D","masqAD"," .03","-.23","",""
"51","D","shaps_tot","-.14"," .01","-.21","-.08"
"52","D","prdep_tot"," .04","-.25","",""
