"","scale","proportion_good_1_1","proportion_good_2_1","proportion_good_1_2","proportion_good_2_2"
"1","bastot","-.11 (-.39,  .21)"," .09 (-.21,  .39)","-.21 (-.51,  .20)","-.02 (-.39,  .44)"
"2","basdrive","-.21 (-.49,  .13)","-.13 (-.43,  .29)","-.15 (-.44,  .32)","-.07 (-.55,  .58)"
"3","basfunsk"," .14 (-.14,  .44)"," .34 ( .03,  .65)*","-.04 (-.41,  .35)"," .18 (-.21,  .52)"
"4","basrewres","-.15 (-.41,  .14)"," .05 (-.21,  .35)","-.28 (-.51,  .03)","-.19 (-.44,  .11)"
"5","bis"," .17 (-.20,  .48)","-.05 (-.48,  .27)"," .11 (-.27,  .41)","-.06 (-.51,  .31)"
"6","panas_pa","-.11 (-.40,  .25)"," .07 (-.18,  .32)","-.05 (-.38,  .30)"," .16 (-.11,  .41)"
"7","panas_na","-.13 (-.45,  .18)","-.29 (-.67,  .05)"," .09 (-.27,  .39)","-.08 (-.40,  .24)"
"8","masqGDA"," .08 (-.24,  .39)","-.07 (-.29,  .17)","",""
"9","masqAA","-.02 (-.29,  .30)","-.16 (-.42,  .13)","",""
"10","masqGDD"," .04 (-.28,  .34)","-.09 (-.36,  .20)","",""
"11","masqAD"," .01 (-.35,  .35)","-.24 (-.56,  .11)","",""
"12","shaps_tot","-.11 (-.35,  .21)","-.06 (-.32,  .52)","-.30 (-.57, -.05)*","-.14 (-.36,  .19)"
"13","prdep_tot"," .05 (-.33,  .38)","-.32 (-.65,  .06)","",""
