"","scale","proportion_good_1_1","proportion_good_2_1","proportion_good_1_2","proportion_good_2_2"
"1","bastot"," .05 (-.17,  .27)"," .05 (-.15,  .26)","-.08 (-.28,  .13)"," .07 (-.18,  .33)"
"2","basdrive"," .03 (-.21,  .30)","-.08 (-.28,  .16)"," .04 (-.16,  .26)"," .01 (-.29,  .36)"
"3","basfunsk"," .10 (-.12,  .32)"," .19 (-.04,  .43)","-.08 (-.30,  .16)"," .20 (-.04,  .42)"
"4","basrewres","-.01 (-.21,  .21)"," .04 (-.14,  .25)","-.16 (-.34,  .05)","-.07 (-.28,  .16)"
"5","bis"," .04 (-.18,  .24)","-.07 (-.33,  .16)","-.02 (-.23,  .16)","-.02 (-.31,  .27)"
"6","panas_pa"," .10 (-.10,  .30)"," .07 (-.11,  .26)"," .02 (-.19,  .24)"," .19 (-.02,  .37)"
"7","panas_na"," .00 (-.21,  .19)","-.31 (-.55, -.05)*","-.08 (-.30,  .14)"," .03 (-.20,  .24)"
"8","masqGDA"," .09 (-.11,  .29)","-.13 (-.36,  .08)","",""
"9","masqAA"," .04 (-.17,  .22)","-.09 (-.33,  .11)","",""
"10","masqGDD"," .04 (-.18,  .23)","-.15 (-.37,  .07)","",""
"11","masqAD"," .02 (-.21,  .24)","-.25 (-.47,  .02)","",""
"12","shaps_tot","-.16 (-.35,  .05)"," .05 (-.17,  .34)","-.21 (-.42,  .02)","-.01 (-.19,  .25)"
"13","prdep_tot"," .02 (-.19,  .22)","-.27 (-.50, -.01)*","",""
