"","scale","proportion_good_1_1","proportion_good_2_1","proportion_good_1_2","proportion_good_2_2"
"1","bastot"," .07"," .06","-.11"," .08"
"2","basdrive"," .04","-.09"," .06"," .01"
"3","basfunsk"," .15"," .23","-.11"," .23"
"4","basrewres","-.01"," .05","-.23","-.08"
"5","bis"," .05","-.08","-.03","-.03"
"6","panas_pa"," .15"," .08"," .03"," .22"
"7","panas_na"," .01","-.37","-.12"," .03"
"8","masqGDA"," .13","-.15","",""
"9","masqAA"," .06","-.11","",""
"10","masqGDD"," .05","-.18","",""
"11","masqAD"," .02","-.29","",""
"12","shaps_tot","-.23"," .06","-.30","-.01"
"13","prdep_tot"," .03","-.32","",""
