"","Subject","ExperimentName","absmoney1","rewlos","Srewlos","card.RESP","ydata","cardname","stim"
"12423",7001,"playorpass - Version 2",NA,0,0,3,2,"C",4
"12546",7001,"playorpass - Version 2",100,1,1,1,1,"B",1
"12610",7001,"playorpass - Version 2",100,1,1,1,1,"B",1
"1271",7001,"playorpass - Version 2",100,1,1,1,1,"D",2
"12810",7001,"playorpass - Version 2",100,1,1,1,1,"D",2
"12910",7001,"playorpass - Version 2",50,0.5,1,1,1,"A",3
"13010",7001,"playorpass - Version 2",50,0.5,1,1,1,"C",4
"13110",7001,"playorpass - Version 2",50,0.5,1,1,1,"A",3
"13210",7001,"playorpass - Version 2",-50,-0.5,-1,1,1,"B",1
"13310",7001,"playorpass - Version 2",100,1,1,1,1,"B",1
"13410",7001,"playorpass - Version 2",0,0,0,1,1,"A",3
"1353",7001,"playorpass - Version 2",50,0.5,1,1,1,"C",4
"13610",7001,"playorpass - Version 2",50,0.5,1,1,1,"A",3
"13710",7001,"playorpass - Version 2",100,1,1,1,1,"D",2
"13810",7001,"playorpass - Version 2",100,1,1,1,1,"D",2
"1394",7001,"playorpass - Version 2",50,0.5,1,1,1,"C",4
"14010",7001,"playorpass - Version 2",50,0.5,1,1,1,"C",4
"14110",7001,"playorpass - Version 2",NA,0,0,3,2,"B",1
"14210",7001,"playorpass - Version 2",100,1,1,1,1,"D",2
"14310",7001,"playorpass - Version 2",50,0.5,1,1,1,"C",4
"14410",7001,"playorpass - Version 2",0,0,0,1,1,"A",3
"14510",7001,"playorpass - Version 2",-200,-2,-1,1,1,"B",1
"14610",7001,"playorpass - Version 2",50,0.5,1,1,1,"A",3
"1476",7001,"playorpass - Version 2",100,1,1,1,1,"D",2
"14810",7001,"playorpass - Version 2",NA,0,0,3,2,"B",1
"14910",7001,"playorpass - Version 2",50,0.5,1,1,1,"C",4
"15010",7001,"playorpass - Version 2",50,0.5,1,1,1,"C",4
"15110",7001,"playorpass - Version 2",100,1,1,1,1,"D",2
"15210",7001,"playorpass - Version 2",100,1,1,1,1,"D",2
"15310",7001,"playorpass - Version 2",0,0,0,1,1,"A",3
"15410",7001,"playorpass - Version 2",NA,0,0,3,2,"B",1
"1558",7001,"playorpass - Version 2",50,0.5,1,1,1,"A",3
"15610",7001,"playorpass - Version 2",0,0,0,1,1,"A",3
"15710",7001,"playorpass - Version 2",NA,0,0,3,2,"B",1
"15810",7001,"playorpass - Version 2",-1150,-11.5,-1,1,1,"D",2
"1599",7001,"playorpass - Version 2",100,1,1,1,1,"B",1
"16010",7001,"playorpass - Version 2",50,0.5,1,1,1,"C",4
"16110",7001,"playorpass - Version 2",50,0.5,1,1,1,"C",4
"16210",7001,"playorpass - Version 2",0,0,0,1,1,"A",3
"16310",7001,"playorpass - Version 2",NA,0,0,3,2,"D",2
"16510",7001,"playorpass - Version 2",-200,-2,-1,1,1,"C",4
"16610",7001,"playorpass - Version 2",100,1,1,1,1,"D",2
"16710",7001,"playorpass - Version 2",NA,0,0,3,2,"B",1
"1681",7001,"playorpass - Version 2",100,1,1,1,1,"D",2
"16910",7001,"playorpass - Version 2",50,0.5,1,1,1,"A",3
"17010",7001,"playorpass - Version 2",50,0.5,1,1,1,"C",4
"17110",7001,"playorpass - Version 2",NA,0,0,3,2,"B",1
"17210",7001,"playorpass - Version 2",-25,-0.25,-1,1,1,"A",3
"17310",7001,"playorpass - Version 2",50,0.5,1,1,1,"C",4
"17410",7001,"playorpass - Version 2",NA,0,0,3,2,"B",1
"17510",7001,"playorpass - Version 2",-100,-1,-1,1,1,"B",1
"1763",7001,"playorpass - Version 2",50,0.5,1,1,1,"C",4
"17710",7001,"playorpass - Version 2",100,1,1,1,1,"D",2
"17810",7001,"playorpass - Version 2",100,1,1,1,1,"D",2
"17910",7001,"playorpass - Version 2",-25,-0.25,-1,1,1,"A",3
"1804",7001,"playorpass - Version 2",50,0.5,1,1,1,"A",3
"18110",7001,"playorpass - Version 2",50,0.5,1,1,1,"A",3
"18210",7001,"playorpass - Version 2",50,0.5,1,1,1,"A",3
"18310",7001,"playorpass - Version 2",-1150,-11.5,-1,1,1,"D",2
"18410",7001,"playorpass - Version 2",100,1,1,1,1,"B",1
"18510",7001,"playorpass - Version 2",-150,-1.5,-1,1,1,"B",1
"18610",7001,"playorpass - Version 2",50,0.5,1,1,1,"C",4
"18710",7001,"playorpass - Version 2",50,0.5,1,1,1,"C",4
"1886",7001,"playorpass - Version 2",100,1,1,1,1,"D",2
"18910",7001,"playorpass - Version 2",NA,0,0,3,2,"B",1
"19010",7001,"playorpass - Version 2",NA,0,0,3,2,"B",1
"19110",7001,"playorpass - Version 2",NA,0,0,3,2,"D",2
"19210",7001,"playorpass - Version 2",-25,-0.25,-1,1,1,"A",3
"19310",7001,"playorpass - Version 2",-25,-0.25,-1,1,1,"A",3
"19410",7001,"playorpass - Version 2",50,0.5,1,1,1,"C",4
"19510",7001,"playorpass - Version 2",50,0.5,1,1,1,"C",4
"1968",7001,"playorpass - Version 2",100,1,1,1,1,"D",2
"19710",7001,"playorpass - Version 2",50,0.5,1,1,1,"A",3
"19810",7001,"playorpass - Version 2",-250,-2.5,-1,1,1,"B",1
"19910",7001,"playorpass - Version 2",NA,0,0,3,2,"B",1
"2009",7001,"playorpass - Version 2",50,0.5,1,1,1,"C",4
"20110",7001,"playorpass - Version 2",50,0.5,1,1,1,"C",4
"20210",7001,"playorpass - Version 2",0,0,0,1,1,"A",3
"20310",7001,"playorpass - Version 2",NA,0,0,3,2,"D",2
"20410",7001,"playorpass - Version 2",NA,0,0,3,2,"D",2
"20610",7001,"playorpass - Version 2",100,1,1,1,1,"D",2
"20710",7001,"playorpass - Version 2",-200,-2,-1,1,1,"C",4
"20810",7001,"playorpass - Version 2",100,1,1,1,1,"D",2
"2091",7001,"playorpass - Version 2",100,1,1,1,1,"B",1
"21010",7001,"playorpass - Version 2",50,0.5,1,1,1,"C",4
"21110",7001,"playorpass - Version 2",50,0.5,1,1,1,"A",3
"21210",7001,"playorpass - Version 2",50,0.5,1,1,1,"A",3
"21310",7001,"playorpass - Version 2",-250,-2.5,-1,1,1,"B",1
"21410",7001,"playorpass - Version 2",50,0.5,1,1,1,"A",3
"21510",7001,"playorpass - Version 2",100,1,1,1,1,"D",2
"21610",7001,"playorpass - Version 2",NA,0,0,3,2,"B",1
"2173",7001,"playorpass - Version 2",100,1,1,1,1,"D",2
"21810",7001,"playorpass - Version 2",50,0.5,1,1,1,"C",4
"21910",7001,"playorpass - Version 2",NA,0,0,3,2,"B",1
"22010",7001,"playorpass - Version 2",0,0,0,1,1,"A",3
"22110",7001,"playorpass - Version 2",50,0.5,1,1,1,"C",4
"22210",7001,"playorpass - Version 2",-1150,-11.5,-1,1,1,"D",2
"22310",7001,"playorpass - Version 2",-25,-0.25,-1,1,1,"A",3
"22410",7001,"playorpass - Version 2",0,0,0,1,1,"A",3
"2255",7001,"playorpass - Version 2",100,1,1,1,1,"D",2
"22610",7001,"playorpass - Version 2",50,0.5,1,1,1,"C",4
