"","Subject","ExperimentName","SocReward1","rewlos3","Srewlos3","card.RESP","ydata","cardname","stim"
"6397",7001,"AB Social Play or Pass Fearful","MC07_Hap_075%.jpg",7.5,1,1,1,"C",3
"6398",7001,"AB Social Play or Pass Fearful","MC04_Hap_150%.jpg",15,1,1,1,"B",2
"6399",7001,"AB Social Play or Pass Fearful",NA,0,0,3,2,"B",2
"6400",7001,"AB Social Play or Pass Fearful","MC03_Hap_075%.jpg",7.5,1,1,1,"D",4
"6401",7001,"AB Social Play or Pass Fearful","MC01_Hap_075%.jpg",7.5,1,1,1,"D",4
"6402",7001,"AB Social Play or Pass Fearful","MC04_Hap_150%.jpg",15,1,1,1,"A",1
"6403",7001,"AB Social Play or Pass Fearful","MC05_Hap_075%.jpg",7.5,1,1,1,"C",3
"6404",7001,"AB Social Play or Pass Fearful","MC02_Hap_150%.jpg",15,1,1,1,"A",1
"6405",7001,"AB Social Play or Pass Fearful","MC03_Hap_150%.jpg",15,1,1,1,"B",2
"6406",7001,"AB Social Play or Pass Fearful","MC10_Hap_150%.jpg",15,1,1,1,"B",2
"6407",7001,"AB Social Play or Pass Fearful","MC08_Fea_050%.jpg",5,-1,1,1,"A",1
"6408",7001,"AB Social Play or Pass Fearful","MC03_Hap_025%.jpg",2.5,1,1,1,"C",3
"6409",7001,"AB Social Play or Pass Fearful","MC07_Hap_150%.jpg",15,1,1,1,"A",1
"6410",7001,"AB Social Play or Pass Fearful","MC02_Hap_075%.jpg",7.5,1,1,1,"D",4
"6411",7001,"AB Social Play or Pass Fearful","MC09_Hap_075%.jpg",7.5,1,1,1,"D",4
"6412",7001,"AB Social Play or Pass Fearful","MC05_Hap_075%.jpg",7.5,1,1,1,"C",3
"6413",7001,"AB Social Play or Pass Fearful",NA,0,0,3,2,"C",3
"6414",7001,"AB Social Play or Pass Fearful","MC07_Hap_150%.jpg",15,1,1,1,"B",2
"6415",7001,"AB Social Play or Pass Fearful","MC04_Hap_075%.jpg",7.5,1,1,1,"D",4
"6416",7001,"AB Social Play or Pass Fearful",NA,0,0,3,2,"C",3
"6417",7001,"AB Social Play or Pass Fearful","MC09_Fea_125%.jpg",12.5,-1,1,1,"A",1
"6418",7001,"AB Social Play or Pass Fearful","MC07_Hap_150%.jpg",15,1,1,1,"B",2
"6419",7001,"AB Social Play or Pass Fearful",NA,0,0,3,2,"A",1
"6420",7001,"AB Social Play or Pass Fearful","MC04_Hap_075%.jpg",7.5,1,1,1,"D",4
"6421",7001,"AB Social Play or Pass Fearful","MC08_Hap_150%.jpg",15,1,1,1,"B",2
"6422",7001,"AB Social Play or Pass Fearful","MC09_Hap_025%.jpg",2.5,1,1,1,"C",3
"6423",7001,"AB Social Play or Pass Fearful",NA,0,0,3,2,"C",3
"6424",7001,"AB Social Play or Pass Fearful","MC03_Hap_075%.jpg",7.5,1,1,1,"D",4
"6425",7001,"AB Social Play or Pass Fearful","MC02_Hap_075%.jpg",7.5,1,1,1,"D",4
"6426",7001,"AB Social Play or Pass Fearful",NA,0,0,3,2,"A",1
"6427",7001,"AB Social Play or Pass Fearful","MC05_Hap_150%.jpg",15,1,1,1,"B",2
"6428",7001,"AB Social Play or Pass Fearful","MC07_Hap_150%.jpg",15,1,1,1,"A",1
"6429",7001,"AB Social Play or Pass Fearful","MC01_Fea_075%.jpg",7.5,-1,1,1,"A",1
"6430",7001,"AB Social Play or Pass Fearful","MC01_Hap_150%.jpg",15,1,1,1,"B",2
"6431",7001,"AB Social Play or Pass Fearful","MC03_Hap_075%.jpg",7.5,1,1,1,"D",4
"6432",7001,"AB Social Play or Pass Fearful","MC06_Fea_450%.jpg",45,-1,1,1,"B",2
"6433",7001,"AB Social Play or Pass Fearful",NA,0,0,3,2,"C",3
"6434",7001,"AB Social Play or Pass Fearful","MC05_Hap_075%.jpg",7.5,1,1,1,"C",3
"6435",7001,"AB Social Play or Pass Fearful","MC03_Hap_150%.jpg",15,1,1,1,"A",1
"6436",7001,"AB Social Play or Pass Fearful","MC09_Fea_125%.jpg",12.5,-1,1,1,"D",4
"6438",7001,"AB Social Play or Pass Fearful","MC04_Hap_025%.jpg",2.5,1,1,1,"C",3
"6439",7001,"AB Social Play or Pass Fearful","MC05_Hap_075%.jpg",7.5,1,1,1,"D",4
"6440",7001,"AB Social Play or Pass Fearful","MC10_Hap_150%.jpg",15,1,1,1,"B",2
"6441",7001,"AB Social Play or Pass Fearful","MC06_Hap_075%.jpg",7.5,1,1,1,"D",4
"6442",7001,"AB Social Play or Pass Fearful","MC06_Fea_100%.jpg",10,-1,1,1,"A",1
"6443",7001,"AB Social Play or Pass Fearful","MC02_Hap_075%.jpg",7.5,1,1,1,"C",3
"6444",7001,"AB Social Play or Pass Fearful","MC07_Hap_150%.jpg",15,1,1,1,"B",2
"6445",7001,"AB Social Play or Pass Fearful","MC04_Fea_150%.jpg",15,-1,1,1,"A",1
"6446",7001,"AB Social Play or Pass Fearful","MC06_Hap_025%.jpg",2.5,1,1,1,"C",3
"6447",7001,"AB Social Play or Pass Fearful","MC05_Hap_150%.jpg",15,1,1,1,"B",2
"6448",7001,"AB Social Play or Pass Fearful","MC08_Hap_150%.jpg",15,1,1,1,"B",2
"6449",7001,"AB Social Play or Pass Fearful","MC04_Hap_025%.jpg",2.5,1,1,1,"C",3
"6450",7001,"AB Social Play or Pass Fearful","MC07_Hap_075%.jpg",7.5,1,1,1,"D",4
"6451",7001,"AB Social Play or Pass Fearful",NA,0,0,NA,2,"D",4
"6452",7001,"AB Social Play or Pass Fearful","MC05_Hap_150%.jpg",15,1,1,1,"A",1
"6453",7001,"AB Social Play or Pass Fearful","MC02_Fea_150%.jpg",15,-1,1,1,"A",1
"6454",7001,"AB Social Play or Pass Fearful","MC02_Hap_150%.jpg",15,1,1,1,"A",1
"6455",7001,"AB Social Play or Pass Fearful","MC04_Fea_100%.jpg",10,-1,1,1,"A",1
"6456",7001,"AB Social Play or Pass Fearful","MC06_Hap_075%.jpg",7.5,1,1,1,"D",4
