ID,Fit_sep_IGT_Arew,Fit_sep_IGT_Apun,Fit_sep_IGT_K,Fit_sep_IGT_betaF,Fit_sep_IGT_betaP,Fit_sep_SIGT_v1_Arew,Fit_sep_SIGT_v1_Apun,Fit_sep_SIGT_v1_K,Fit_sep_SIGT_v1_betaF,Fit_sep_SIGT_v1_betaP,Fit_sep_SIGT_v2_Arew,Fit_sep_SIGT_v2_Apun,Fit_sep_SIGT_v2_K,Fit_sep_SIGT_v2_betaF,Fit_sep_SIGT_v2_betaP,Fit_sep_SIGT_v3_Arew,Fit_sep_SIGT_v3_Apun,Fit_sep_SIGT_v3_K,Fit_sep_SIGT_v3_betaF,Fit_sep_SIGT_v3_betaP
7001,0.188622562,0.094070459,0.047862179,1.709133267,1.832087983,0.011945288,0.380823703,0.044332174,0.848902582,0.894679141,0.018361476,0.34184883,0.045408436,0.896491018,0.838151201,0.012317953,0.429375015,0.041225083,0.586441557,0.956319101
7002,0.239970152,0.069855861,0.05566224,1.450729558,0.346364512,0.022831647,0.397588688,0.047124369,1.130556981,2.188921828,0.043918632,0.358237869,0.047768065,1.198556378,2.110178553,0.019357052,0.45205406,0.045288712,0.796475449,2.390082412
7003,0.204303392,0.021357665,0.05806383,1.534822693,-0.825002614,0.007078838,0.373185634,0.045079965,1.083594583,1.439143477,0.008015666,0.328686061,0.046165558,1.194608071,1.542084479,0.007308194,0.427772524,0.043012291,0.875851018,1.431290647
7004,0.077110254,0.042280469,0.056458024,0.940415701,0.070056978,0.002780054,0.376125599,0.042602693,1.039832014,0.545839447,0.002872806,0.33310334,0.043843636,1.137036449,0.569666967,0.003195922,0.429713391,0.03783697,0.720511697,0.715867684
7005,0.085482304,0.131915885,0.03667403,1.602333648,2.274710771,0.001386038,0.363572931,0.039505404,0.852928393,1.714561385,0.001645094,0.319236527,0.041233485,0.935331468,1.686795618,0.001748986,0.418787108,0.033644822,0.414181784,1.942773414
7006,0.221046928,0.020958839,0.056548803,1.220759732,0.139587343,0.003139628,0.369512087,0.044401238,1.182369333,0.385779637,0.003174997,0.327924486,0.045356882,1.289028507,0.451407767,0.003470995,0.422062131,0.041631351,0.974933297,0.374004181
7008,0.319147353,0.027004032,0.059293157,1.612604426,0.50577169,0.000989768,0.40433048,0.043685712,1.036097598,2.889992897,0.001264266,0.371945824,0.044654591,1.100338677,2.861295304,0.001104445,0.459954699,0.039364601,0.493427053,3.146312577
7009,0.160661789,0.127502811,0.107926328,1.559084051,2.920467145,0.001379122,0.384484419,0.054555799,1.053964629,2.101864589,0.001572877,0.340836567,0.05330326,1.131048871,2.093090395,0.001611752,0.449353246,0.05747461,0.759590485,2.185967614
7010,0.211585593,0.167185951,0.088564459,1.715684965,2.143336107,0.000795978,0.464883835,0.043225762,1.497858078,2.635773509,0.000808938,0.454764195,0.044281233,1.571602117,2.629397474,0.000979002,0.548371689,0.040659558,1.245574055,2.65013092
7011,0.119579868,0.248942232,0.045375224,1.549048663,2.736834022,0.000934338,0.369489669,0.038835803,1.379273959,1.88939119,0.000977814,0.333872035,0.040761044,1.490724165,1.850356245,0.001107278,0.417709235,0.032878602,1.003245526,2.078396819
