"","task","parameter","self_report","r","p_cor","sig_cor"
"cor...1","SIGT","betaB","SPS",-0.0431422040216047,0.559831525661685,""
"cor...2","SIGT","betaB","LSAS",0.0010690525982616,0.988445719151027,""
"cor...3","SIGT","betaB","BIS",-0.021340432540044,0.771890973289236,""
"cor...4","SIGT","betaB","STAI",-0.118862674678253,0.107077886119125,""
"cor...5","SIGT","betaB","PRMD",0.0678919063586454,0.358498003644528,""
"cor...6","SIGT","betaB","CESD",-0.060766400561211,0.408713287517675,""
"cor...7","SIGT","betaB","PANAS_P",0.187129524349587,0.0105417009918468,"*"
"cor...8","SIGT","betaB","MPQ_WB",0.0827636997920289,0.261409861558139,""
"cor...9","SIGT","betaB","BAS",-0.0210833867819103,0.774564382048082,""
"cor...10","SIGT","betaB","TEPS",0.14117293563572,0.055268994005099,""
"cor...11","SIGT","betaB","SHAPS",0.0202793280528688,0.783518337466406,""
"cor...12","SIGT","betaB","RPAS",-0.113502376953294,0.123972590584766,""
"cor...13","SIGT","betaB","FCPS",-0.0218269446549011,0.766838366197976,""
"cor...14","SIGT","betaB","RSAS",-0.113791365656045,0.124043186032891,""
"cor...15","SIGT","betaB","MPQ_SC",0.0358067054265293,0.62753309236478,""
"cor...16","SIGT","betaB","BAPQ_S",-0.0128959887778458,0.860942264315186,""
"cor...17","SIGT","betaB","ACIPS",0.0520603294053625,0.493834913146907,""
"cor...18","SIGT","betaF","SPS",0.0477886973984403,0.518305143034219,""
"cor...19","SIGT","betaF","LSAS",0.169069163380951,0.0210612767698128,"*"
"cor...20","SIGT","betaF","BIS",0.0186787724716998,0.799698107605296,""
"cor...21","SIGT","betaF","STAI",-0.0404318236719752,0.584771485977493,""
"cor...22","SIGT","betaF","PRMD",0.141282602106477,0.0550780963680969,""
"cor...23","SIGT","betaF","CESD",0.0715388923471786,0.330569499446452,""
"cor...24","SIGT","betaF","PANAS_P",-0.0665396213747507,0.366864393334966,""
"cor...25","SIGT","betaF","MPQ_WB",-0.119777941126058,0.103438211038005,""
"cor...26","SIGT","betaF","BAS",-0.150240934153511,0.0401305756014186,"*"
"cor...27","SIGT","betaF","TEPS",0.114267617982587,0.121441670802073,""
