"","task","parameter","self_report","r","p_cor","sig_cor"
"cor...1","SIGT","betaB","SPS",-0.0498466481434226,0.499259733118168,""
"cor...2","SIGT","betaB","LSAS",0.00434361258068857,0.952952096999348,""
"cor...3","SIGT","betaB","BIS",-0.0472006531442403,0.52007805275279,""
"cor...4","SIGT","betaB","STAI",-0.136716046015635,0.0627815494933569,""
"cor...5","SIGT","betaB","PRMD",0.0335086418115937,0.64979734872485,""
"cor...6","SIGT","betaB","CESD",-0.079383751075973,0.278850235775052,""
"cor...7","SIGT","betaB","PANAS_P",0.167576150556643,0.0218803152064597,"*"
"cor...8","SIGT","betaB","MPQ_WB",0.0616993029247191,0.401543630713818,""
"cor...9","SIGT","betaB","BAS",-0.027318359909099,0.709787273512991,""
"cor...10","SIGT","betaB","TEPS",0.134476812110586,0.0672534298362868,""
"cor...11","SIGT","betaB","SHAPS",0.0287198859051117,0.696399254751627,""
"cor...12","SIGT","betaB","RPAS",-0.100089317032877,0.17406741675048,""
"cor...13","SIGT","betaB","FCPS",-0.0114612544855443,0.875949589367993,""
"cor...14","SIGT","betaB","RSAS",-0.12627608250169,0.0867563204443877,""
"cor...15","SIGT","betaB","MPQ_SC",0.0671459553472835,0.361199731552802,""
"cor...16","SIGT","betaB","BAPQ_S",-0.0416482086377819,0.570381843317168,""
"cor...17","SIGT","betaB","ACIPS",0.0614235103837269,0.418035864884717,""
"cor...18","SIGT","betaF","SPS",0.0477452898197443,0.517542319471847,""
"cor...19","SIGT","betaF","LSAS",0.18004501928416,0.013672521430933,"*"
"cor...20","SIGT","betaF","BIS",0.02261330226405,0.758059896085734,""
"cor...21","SIGT","betaF","STAI",-0.0496857293826953,0.500647651764269,""
"cor...22","SIGT","betaF","PRMD",0.142771084556157,0.0518976087824521,""
"cor...23","SIGT","betaF","CESD",0.0686796888043016,0.349008428859076,""
"cor...24","SIGT","betaF","PANAS_P",-0.0542945650461961,0.460494228088987,""
"cor...25","SIGT","betaF","MPQ_WB",-0.132028440009049,0.0716635913872959,""
"cor...26","SIGT","betaF","BAS",-0.144694242554864,0.0475739964606788,"*"
