"","parameter","group","mu","lower","upper","greater_0","sig"
"1","Arew","Anx",0.19,0.04,0.34,0.99,"*"
"2","Arew","Dep",-0.03,-0.19,0.13,0.35,""
"3","Arew","SUD",-0.16,-0.31,0,0.03,""
"4","Arew","Female",-0.06,-0.21,0.09,0.22,""
"5","Apun","Anx",0.15,0.01,0.29,0.98,"*"
"6","Apun","Dep",-0.06,-0.2,0.09,0.22,""
"7","Apun","SUD",-0.12,-0.26,0.03,0.06,""
"8","Apun","Female",-0.18,-0.33,-0.04,0.01,"*"
"9","betaF","Anx",0.92,-0.04,1.86,0.97,""
"10","betaF","Dep",0.07,-0.88,1.06,0.55,""
"11","betaF","SUD",0.01,-0.98,0.95,0.5,""
"12","betaF","Female",0.64,-0.25,1.56,0.92,""
"13","betaB","Anx",0.18,-0.07,0.43,0.92,""
"14","betaB","Dep",0.01,-0.25,0.27,0.54,""
"15","betaB","SUD",-0.17,-0.42,0.07,0.09,""
"16","betaB","Female",-0.24,-0.48,0.01,0.03,""
