id,screen_sex
5000,M
5001,F
5002,F
5003,F
5004,F
5005,M
5006,F
5007,F
5008,F
5009,F
5010,M
5012,F
5014,F
5015,M
5016,F
5017,M
5018,F
5019,M
5020,F
5021,M
5023,F
5024,M
5025,F
5027,F
5028,M
5029,F
5030,F
5031,M
5033,M
5034,M
5036,F
5037,F
5039,M
5040,M
5042,F
5043,F
5044,F
5045,F
5046,M
5047,M
5048,M
5051,F
5055,F
5056,M
5057,M
5058,F
5059,M
5060,M
5061,F
5062,M
5063,F
5064,M
5065,F
5066,M
5070,M
5071,F
5074,F
5075,F
5077,F
5078,M
5079,F
5080,F
5082,M
5083,M
5085,M
5086,M
5088,F
5090,F
5091,F
5093,F
5094,M
5095,F
5096,M
5097,M
5098,M
5099,F
5100,F
5101,F
5102,M
5103,F
5104,F
5105,F
5108,F
5110,M
5112,M
5114,M
5115,F
5116,M
5117,M
5118,F
5119,M
5120,F
5121,F
5122,F
5123,F
5124,F
5125,M
5126,M
5127,F
5128,F
5130,F
5131,F
5132,M
5133,F
5136,M
5137,F
5138,F
5139,M
5140,F
5141,F
5143,M
5145,F
5146,M
5148,F
5149,F
5150,F
5151,F
5152,F
5154,F
5156,F
5157,F
5158,F
5160,M
5161,F
5162,M
5164,F
5165,F
5168,F
5173,F
5174,F
5175,F
5177,M
5178,F
5179,M
5180,F
5182,M
5183,M
5184,M
5186,F
5187,F
5191,F
5193,M
5194,M
5195,F
5197,F
5198,M
5199,F
5200,F
5201,F
5202,F
5203,M
5204,F
5205,F
5206,F
5208,F
5209,F
5210,M
5212,F
5213,M
5214,F
5215,M
5216,F
5218,M
5219,M
5220,F
5222,M
5223,F
5225,F
5226,F
5228,F
5229,M
5230,M
5232,F
5233,M
5234,M
5235,M
5239,F
5240,M
5242,M
5244,M
5246,F
5248,M
5249,M
5252,M
5253,F
5255,M
5259,M
5261,M
5262,F
5263,F
5265,M
5266,M
5267,F
5269,M
5271,M
5272,F
5274,F
5276,M
5277,F
5278,F
5279,F
5281,M
5282,F
5286,M
5287,F
5288,F
5289,F
5292,F
5295,F
5296,M
5297,M
5298,F
5299,M
5300,M
5304,F
5305,M
5306,F
5307,M
5308,M
5309,F
5310,M
5312,F
5313,M
5314,F
5316,M
5318,F
5319,M
5320,M
5322,M
5323,M
5325,F
5326,F
5327,F
5328,F
5330,M
5331,M
5334,M
5336,F
5337,M
5338,F
5339,M
5341,F
5342,F
5343,M
5344,M
5345,F
5346,F
5347,F
5348,F
,
